transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,fraud_category
T44,U6523,45470.55,Transfer,NetBanking,iOS,Chennai,1293.0,19.0,4.0,16187.42,0.0,0.522,2.0,0,A
T45,U1346,12976.06,Withdrawal,Wallet,iOS,Delhi,901.0,0.0,3.0,19260.36,0.0,0.069,6.0,0,A
T46,U1899,33142.99,Withdrawal,NetBanking,Web,Mumbai,1022.0,11.0,0.0,15151.97,0.0,0.178,3.0,0,A
T47,U7634,15619.97,Payment,NetBanking,Web,Delhi,29.0,10.0,0.0,1863.83,1.0,0.5678,2.0,0,A
T48,U6799,26027.4,Withdrawal,UPI,Web,Chennai,1068.0,12.0,4.0,15071.78,1.0,0.936,4.9,0,A
T49,U9575,27358.18,Payment,UPI,Android,Mumbai,1898.0,22.0,1.0,773.74,0.0,0.747,4.0,0,A
T50,U6463,9283.48,Withdrawal,Wallet,Android,Mumbai,764.0,3.0,0.0,5500.18,0.0,0.239,1.0,0,A
T51,U9688,23518.878,Transfer,Wallet,Web,Mumbai,1476.0,5.0,3.0,11684.09,0.0,0.4863,4.0,0,A
T52,U8581,38767.88,Withdrawal,UPI,Web,Bangalore,950.0,21.0,0.0,16584.12,0.0,0.4652999999999999,6.0,0,A
T53,U9669,46977.97,Payment,NetBanking,iOS,Chennai,279.0,12.0,2.0,5626.06,0.0,0.77,5.0,0,A
T54,U8665,23365.165,Payment,Wallet,Web,Bangalore,1768.0,23.0,3.0,8361.39,0.0,0.972,5.0,0,A
T55,U2603,29915.1,Withdrawal,Card,Android,Mumbai,415.0,21.0,1.0,11288.91,0.0,0.355,9.0,0,A
T56,U1488,46097.62,Transfer,Card,iOS,Bangalore,1541.0,12.0,3.0,5996.73,0.0,0.015,9.0,0,A
T57,U4896,4470.2,Payment,Card,iOS,Delhi,313.0,5.0,3.0,29963.03,0.0,0.937,9.0,0,A
T58,U7117,9839.34,Payment,Wallet,Android,Bangalore,1703.0,21.0,0.0,24160.93,1.0,0.753,7.0,0,A
T59,U6287,2309.1,Payment,UPI,Android,Hyderabad,1318.0,3.0,3.0,24347.0,0.0,0.5377,9.0,0,A
T60,U3018,16300.25,Payment,UPI,iOS,Mumbai,1581.0,20.0,4.0,17109.03,0.0,0.209,8.0,0,A
T61,U1357,19464.43,Payment,UPI,Web,Mumbai,1018.0,2.0,3.0,28843.61,0.0,0.646,8.0,0,A
T62,U7561,13603.88,Transfer,Wallet,Android,Chennai,819.0,14.0,0.0,21992.8,0.0,0.233,5.0,0,A
T63,U8749,41445.44,Withdrawal,Wallet,iOS,Delhi,1062.0,10.0,4.0,9993.27,0.0,0.012,9.0,0,A
T64,U1808,17869.83,Transfer,Card,Web,Chennai,856.5,1.0,1.0,18354.75,0.0,0.157,8.0,0,A
T65,U8448,14082.68,Transfer,Wallet,Web,Bangalore,1449.0,22.0,2.0,16356.63,0.0,0.923,7.0,0,A
T66,U1709,27157.67,Payment,NetBanking,iOS,Hyderabad,1942.0,16.0,3.0,17450.64,0.0,0.215,8.0,0,A
T67,U9847,7089.17,Transfer,Card,Android,Hyderabad,1072.2,22.0,4.0,24550.03,0.0,0.585,9.0,0,A
T68,U1177,40119.74,Payment,UPI,Web,Hyderabad,918.0,1.0,4.0,15335.9,0.0,0.968,7.0,0,A
T69,U3551,3773.8,Transfer,Wallet,Android,Hyderabad,1983.0,20.0,1.0,21886.35,0.0,0.076,9.0,0,A
T70,U5572,23306.33,Payment,UPI,iOS,Delhi,151.0,0.0,1.0,7592.84,0.0,0.5577,8.0,0,A
T71,U5611,38623.63,Payment,UPI,Web,Bangalore,655.0,4.0,2.0,27968.65,0.0,0.598,2.0,0,A
T72,U3282,9975.85,Transfer,Wallet,Web,Hyderabad,1689.0,19.0,2.0,2682.83,0.0,0.323,3.0,0,A
T73,U1105,325.83,Transfer,Wallet,iOS,Mumbai,818.0,16.0,0.0,29808.04,0.0,0.364,6.0,0,A
T74,U6842,40782.3,Withdrawal,NetBanking,Web,Bangalore,957.0,0.0,2.0,19016.93,0.0,0.027,6.0,0,A
T75,U7788,35357.52,Withdrawal,Card,Web,Delhi,1913.0,6.0,2.0,14151.55,1.0,0.256,7.0,0,A
T76,U4108,36463.91,Withdrawal,NetBanking,iOS,Hyderabad,978.7,2.0,4.0,9392.39,0.0,0.423,2.0,0,A
T77,U9241,38574.95,Transfer,Card,iOS,Delhi,254.0,15.0,3.0,12213.74,0.0,0.717,1.0,0,A
T78,U1267,3748.53,Transfer,Card,Android,Hyderabad,775.0,15.0,3.0,23494.46,1.0,0.275,5.0,0,A
T79,U5248,17955.36,Payment,Card,iOS,Mumbai,885.0,11.0,2.0,4269.05,0.0,0.58,2.0,0,A
T80,U6998,5837.66,Withdrawal,UPI,Android,Bangalore,921.0,8.0,0.0,7655.29,0.0,0.732,9.0,0,A
T81,U3877,43162.02,Payment,UPI,iOS,Mumbai,1038.0,13.0,0.0,3799.45,0.0,0.699,3.0,0,A
T82,U1520,31183.74,Payment,Wallet,Web,Hyderabad,929.0,11.0,3.0,12856.97,0.0,0.59,2.0,0,A
T83,U1170,16578.36,Payment,Card,Android,Chennai,948.0,15.0,1.0,11677.96,0.0,0.58,7.0,0,A
T84,U5484,3224.74,Payment,Card,iOS,Bangalore,458.0,16.0,4.0,19498.67,0.0,0.721,6.0,0,A
T85,U9322,15583.57,Withdrawal,Card,Android,Delhi,275.0,11.0,2.0,29871.91,0.0,0.336,8.0,0,A
T86,U3983,16292.91,Payment,UPI,Android,Hyderabad,1524.0,3.0,4.0,26781.54,0.0,0.45,9.0,0,A
T87,U2552,36493.83,Transfer,Wallet,Android,Mumbai,1272.0,16.0,2.0,26423.29,0.0,0.966,3.0,0,A
T88,U3989,31896.0,Transfer,UPI,Web,Chennai,259.0,0.0,2.0,19406.67,0.0,0.669,8.0,0,A
T89,U4029,44366.28,Transfer,UPI,iOS,Hyderabad,964.0,20.0,3.0,8191.19,0.0,0.52,4.0,0,A
T90,U5882,23637.14,Withdrawal,NetBanking,iOS,Delhi,1324.0,16.0,4.0,11584.16,0.0,0.578,2.0,0,A
T91,U4389,6023.73,Payment,NetBanking,Android,Mumbai,552.0,10.0,4.0,7578.65,0.0,0.104,4.0,0,A
T92,U4396,35676.58,Withdrawal,Wallet,iOS,Bangalore,1162.9,18.0,1.0,4139.01,0.0,0.592,4.0,0,A
T93,U8733,38051.21,Payment,NetBanking,Web,Chennai,1112.0,22.0,1.0,13137.33,0.0,0.836,8.0,0,A
T94,U4576,28085.8,Withdrawal,Wallet,Android,Hyderabad,916.0,17.0,4.0,26936.3,0.0,0.524,8.0,0,A
T95,U3234,38559.81,Withdrawal,UPI,Web,Hyderabad,530.0,19.0,1.0,22340.85,0.0,0.177,7.0,0,A
T96,U1521,24715.09,Payment,UPI,Web,Hyderabad,1483.0,1.0,1.0,29546.65,0.0,0.448,4.0,0,A
T97,U4929,26160.5,Withdrawal,Wallet,iOS,Hyderabad,1589.0,8.0,2.0,5925.03,0.0,0.278,2.0,0,A
T98,U1472,21405.67,Payment,UPI,iOS,Mumbai,893.0,8.0,3.0,15066.27,0.0,0.36,1.0,0,A
T99,U1266,1319.69,Transfer,UPI,Android,Bangalore,743.0,11.0,2.0,23812.08,0.0,0.225,2.0,0,A
T100,U8394,5439.18,Transfer,Wallet,Web,Delhi,153.0,12.0,1.0,13867.79,0.0,0.6496999999999999,2.0,0,A
T101,U7803,1619.89,Transfer,NetBanking,iOS,Chennai,1153.0,15.0,2.0,10716.13,0.0,0.822,3.0,0,A
T102,U7909,31838.7,Withdrawal,Wallet,Android,Hyderabad,953.0,12.0,2.0,24495.02,1.0,0.758,3.3,0,A
T103,U5779,15752.08,Transfer,Card,Android,Hyderabad,574.0,22.0,0.0,12966.21,0.0,0.491,1.0,0,A
T104,U1616,25453.11,Payment,UPI,iOS,Bangalore,1610.0,13.0,2.0,27397.73,0.0,0.783,5.0,1,C
T105,U6888,28181.599,Transfer,Wallet,Web,Bangalore,1209.0,6.0,2.0,8125.2,0.0,0.976,7.0,0,A
T106,U1735,12502.15,Transfer,UPI,Android,Mumbai,79.0,1.0,3.0,26903.97,0.0,0.406,1.0,0,A
T107,U2553,20548.63,Withdrawal,NetBanking,iOS,Mumbai,1847.0,11.0,4.0,8425.98,0.0,0.98,4.0,0,A
T108,U9301,37789.78,Payment,UPI,Android,Mumbai,642.0,23.0,0.0,8757.97,0.0,0.246,2.0,0,A
T109,U3195,11478.47,Withdrawal,Wallet,iOS,Chennai,898.0,16.0,0.0,12675.47,0.0,0.955,8.0,0,A
T110,U9467,3895.15,Withdrawal,NetBanking,Android,Mumbai,1236.0,23.0,0.0,15522.77,0.0,0.864,2.0,0,A
T111,U9234,14523.09,Payment,NetBanking,Web,Hyderabad,810.0,4.0,0.0,12604.93,0.0,0.199,1.0,0,A
T112,U9082,8103.0,Withdrawal,NetBanking,Android,Mumbai,189.0,19.0,3.0,25878.26,1.0,0.35,6.4,0,A
T113,U8186,20649.637,Payment,Card,iOS,Chennai,602.0,9.0,4.0,23887.52,0.0,0.708,4.0,0,A
T114,U9675,40415.61,Transfer,Wallet,iOS,Mumbai,576.0,17.0,3.0,9364.92,0.0,0.192,5.0,0,A
T115,U2339,31688.52,Payment,Wallet,iOS,Mumbai,700.0,2.0,0.0,15394.44,0.0,0.591,2.0,0,A
T116,U5538,43579.46,Payment,NetBanking,Web,Hyderabad,1643.0,12.0,4.0,12987.79,0.0,0.535,4.0,0,A
T117,U4935,40193.42,Payment,NetBanking,iOS,Hyderabad,1143.0,12.0,3.0,1776.5,1.0,0.292,5.4,0,A
T118,U3759,9369.17,Withdrawal,NetBanking,iOS,Hyderabad,1457.0,9.0,4.0,22469.59,1.0,0.301,4.4,0,A
T119,U2322,14756.41,Payment,Card,Web,Mumbai,674.0,1.0,3.0,5531.83,1.0,0.516,8.0,0,A
T120,U9154,26990.14,Payment,NetBanking,iOS,Hyderabad,1992.0,15.0,4.0,28030.84,0.0,0.3,9.0,0,A
T121,U7077,40381.64,Payment,Wallet,iOS,Bangalore,1174.0,3.0,3.0,11993.57,0.0,0.18,1.0,0,A
T122,U5583,44809.76,Transfer,NetBanking,Web,Delhi,415.0,18.0,0.0,18705.51,0.0,0.773,1.0,0,A
T123,U2161,15934.27,Payment,UPI,Android,Delhi,995.0,4.0,0.0,24567.15,0.0,0.582,3.0,1,B
T124,U7575,5547.09,Withdrawal,Wallet,iOS,Hyderabad,646.0,6.0,0.0,5490.87,1.0,0.438,8.0,0,A
T125,U4491,11435.36,Payment,UPI,Android,Chennai,1124.0,8.0,3.0,16279.98,0.0,0.181,1.0,0,A
T126,U5632,21384.03,Payment,NetBanking,Web,Hyderabad,1327.0,4.0,4.0,7198.85,0.0,0.594,2.0,0,A
T127,U6524,40909.84,Transfer,UPI,iOS,Hyderabad,1426.0,7.0,4.0,15339.16,0.0,0.629,1.0,0,A
T128,U3140,43043.49,Payment,Card,iOS,Mumbai,1070.0,1.0,1.0,17425.14,0.0,0.48,1.0,0,A
T129,U5039,397.26,Withdrawal,Wallet,Web,Chennai,526.0,21.0,2.0,5157.32,0.0,0.5812999999999999,9.0,0,A
T130,U1958,25561.83,Payment,UPI,iOS,Hyderabad,859.0,23.0,0.0,17466.48,0.0,0.867,1.0,0,A
T131,U5840,20899.68,Withdrawal,Wallet,Android,Bangalore,1695.0,19.0,0.0,13701.75,0.0,0.705,4.0,0,A
T132,U3019,11144.29,Transfer,Card,Android,Delhi,1911.0,19.0,2.6,15707.79,0.0,0.356,7.0,0,A
T133,U2050,6037.28,Payment,Card,Web,Bangalore,962.1,6.0,1.0,27158.51,0.0,0.593,5.0,0,A
T134,U7905,16913.88,Transfer,Card,iOS,Bangalore,325.0,3.0,1.0,14565.71,0.0,0.234,5.0,0,A
T135,U1699,47148.34,Payment,Card,iOS,Bangalore,1205.0,20.0,1.0,14336.84,0.0,0.011,7.0,0,A
T136,U2974,16193.99,Withdrawal,UPI,Web,Chennai,1439.0,14.0,0.0,14164.92,0.0,0.869,6.0,0,A
T137,U2686,25963.59,Transfer,Wallet,Android,Chennai,1295.0,17.0,4.0,18730.85,0.0,0.4549,6.0,1,C
T138,U2979,35165.8,Payment,NetBanking,Android,Chennai,761.1,1.0,0.0,11088.77,1.0,0.639,8.0,0,A
T139,U6022,18213.3,Withdrawal,Card,Web,Delhi,36.0,13.0,1.0,24060.67,0.0,0.811,9.0,0,A
T140,U5263,21272.025,Transfer,NetBanking,iOS,Mumbai,1528.0,9.0,1.0,8652.9,0.0,0.781,2.0,0,A
T141,U1515,35035.554000000004,Payment,NetBanking,Android,Hyderabad,64.0,4.0,2.0,9056.43,1.0,0.86,4.0,0,A
T142,U5875,12626.53,Transfer,Wallet,iOS,Hyderabad,1944.0,11.0,3.0,17703.63,0.0,0.892,9.0,0,A
T143,U2726,24887.56,Payment,NetBanking,Android,Mumbai,1865.0,9.0,2.0,7870.69,0.0,0.819,1.0,0,A
T144,U4077,15078.87,Withdrawal,NetBanking,iOS,Hyderabad,258.0,17.0,2.0,18162.943000000003,0.0,0.852,8.0,0,A
T145,U1247,14277.78,Withdrawal,UPI,Android,Bangalore,282.0,5.0,0.0,6247.01,0.0,0.502,1.0,0,A
T146,U3238,1892.5,Transfer,NetBanking,iOS,Delhi,1292.0,21.0,3.0,27418.36,0.0,0.708,4.0,0,A
T147,U6324,30497.74,Transfer,NetBanking,Web,Hyderabad,1811.0,11.0,3.0,419.95,0.0,0.333,9.0,1,C
T148,U4212,25158.82,Payment,NetBanking,Android,Delhi,1178.4,23.0,0.0,4090.5,1.0,0.861,4.0,1,C
T149,U8724,2621.36,Withdrawal,Wallet,Web,Mumbai,584.0,0.0,4.0,22765.39,0.0,0.859,5.0,0,A
T150,U7392,13968.39,Payment,Card,Android,Hyderabad,866.0,6.0,0.0,29397.84,1.0,0.066,3.0,0,A
T151,U9335,45417.88,Withdrawal,NetBanking,Android,Delhi,1479.0,11.0,4.0,20676.74,0.0,0.347,8.0,0,A
T152,U9792,12016.12,Transfer,NetBanking,Android,Bangalore,1886.0,6.0,2.3,27677.8,0.0,0.171,1.0,0,A
T153,U9965,7287.5,Payment,NetBanking,iOS,Bangalore,1535.0,8.0,3.0,25671.55,0.0,0.288,3.0,0,A
T154,U1732,24498.17,Payment,Card,Android,Mumbai,625.0,19.0,0.0,14451.11,1.0,0.415,5.2,0,A
T155,U7026,49283.24,Withdrawal,UPI,Web,Chennai,1426.0,14.0,0.0,10072.35,0.0,0.4785,3.0,0,A
T156,U7031,12140.66,Withdrawal,NetBanking,iOS,Hyderabad,1441.0,22.0,3.0,19003.91,0.0,0.344,9.0,0,A
T157,U8987,33623.17,Withdrawal,Wallet,iOS,Bangalore,1833.0,11.0,2.0,16053.25,0.0,0.309,6.0,0,A
T158,U3605,38092.9,Transfer,UPI,Android,Bangalore,1804.0,12.0,0.0,872.3,0.0,0.5706,3.0,0,A
T159,U5651,11920.0,Payment,UPI,iOS,Mumbai,1027.0,21.0,1.0,28723.19,0.0,0.383,8.0,0,A
T160,U5141,36424.41,Withdrawal,UPI,Android,Bangalore,682.0,3.0,1.0,17150.4,0.0,0.471,9.0,0,A
T161,U4152,18420.77,Transfer,NetBanking,Web,Hyderabad,692.0,9.0,0.0,26247.3,0.0,0.4409,4.0,0,A
T162,U1106,31633.68,Withdrawal,Card,iOS,Mumbai,118.0,23.0,4.0,22065.44,0.0,0.68,5.0,0,A
T163,U8583,31694.81,Payment,Card,iOS,Delhi,661.0,2.0,3.0,10290.91,1.0,0.288,3.0,0,A
T164,U1077,26811.95,Withdrawal,NetBanking,Web,Mumbai,1638.0,23.0,4.0,27044.62,0.0,0.716,5.0,0,A
T165,U1822,4559.97,Payment,Wallet,Web,Hyderabad,990.0,4.0,1.0,23733.63,0.0,0.883,2.0,0,A
T166,U6928,41773.36,Transfer,Wallet,Android,Hyderabad,1136.0,3.0,1.0,12950.77,0.0,0.591,2.0,1,C
T167,U1821,16072.96,Transfer,Wallet,iOS,Delhi,235.0,18.0,3.0,25230.3,0.0,0.389,5.0,0,A
T168,U7504,9366.6,Withdrawal,NetBanking,Web,Mumbai,362.0,14.0,1.0,8219.41,0.0,0.18,7.0,1,B
T169,U5838,2086.72,Payment,Card,iOS,Hyderabad,1193.0,22.0,2.0,20153.44,0.0,0.932,1.0,0,A
T170,U6924,29565.1,Payment,NetBanking,Web,Hyderabad,1437.0,6.0,1.0,3525.99,0.0,0.752,3.0,0,A
T171,U7781,33894.34,Payment,Card,iOS,Delhi,1063.9,21.0,4.0,25986.46,0.0,0.246,1.0,0,A
T172,U3476,878.56,Withdrawal,UPI,Web,Chennai,1357.0,2.0,4.0,21910.04,0.0,0.151,8.0,0,A
T173,U5190,25629.05,Payment,NetBanking,iOS,Mumbai,154.0,15.0,2.0,4661.78,0.0,0.049,2.0,0,A
T174,U6775,11363.46,Payment,UPI,Web,Hyderabad,1787.0,14.0,4.0,737.9,0.0,0.191,6.0,0,A
T175,U8577,32276.38,Payment,UPI,iOS,Bangalore,1498.0,17.0,4.0,11757.05,0.0,0.732,6.0,0,A
T176,U5318,8759.6,Payment,UPI,Android,Delhi,1155.9,2.0,4.0,20290.65,0.0,0.63,9.0,0,A
T177,U3312,34562.34,Withdrawal,NetBanking,Android,Chennai,1165.0,13.0,0.0,8566.11,0.0,0.967,6.0,0,A
T178,U3335,19367.43,Withdrawal,Card,Android,Chennai,1126.0,0.0,2.0,29200.33,0.0,0.322,6.0,0,A
T179,U1954,22933.394,Payment,UPI,iOS,Delhi,282.0,6.0,2.0,28046.97,0.0,0.787,1.0,0,A
T180,U6362,6919.17,Payment,NetBanking,iOS,Chennai,1737.0,1.0,1.0,17978.42,0.0,0.4391,7.0,0,A
T181,U4441,17086.26,Transfer,UPI,Android,Hyderabad,543.0,9.0,2.0,9536.41,0.0,0.2247999999999999,6.0,0,A
T182,U5334,5718.0,Transfer,Wallet,Web,Chennai,1227.0,23.0,3.0,26898.45,0.0,0.467,8.0,0,A
T183,U4448,46238.45,Payment,NetBanking,iOS,Mumbai,1203.0,15.0,2.0,24123.78,0.0,0.838,1.0,0,A
T184,U1666,33696.026,Payment,UPI,iOS,Bangalore,469.0,11.0,3.0,2676.02,0.0,0.702,8.0,0,A
T185,U9132,12934.18,Transfer,UPI,iOS,Hyderabad,950.0,17.0,4.0,14342.05,0.0,0.194,8.0,0,A
T186,U4137,33016.2,Transfer,NetBanking,iOS,Delhi,1044.0,5.0,3.0,29438.33,0.0,0.984,1.0,0,A
T187,U4280,40870.25,Payment,Card,Android,Bangalore,190.0,16.0,0.0,13671.77,0.0,0.823,7.0,0,A
T188,U4783,27782.28,Withdrawal,Card,Web,Hyderabad,1265.0,7.0,4.0,27993.96,0.0,0.355,7.0,0,A
T189,U4342,26506.05,Withdrawal,UPI,Web,Bangalore,1989.0,20.0,3.0,29320.95,0.0,0.826,7.0,0,A
T190,U7832,12130.52,Payment,NetBanking,Web,Chennai,38.0,8.0,4.0,11682.04,0.0,0.957,3.0,0,A
T191,U2155,4700.48,Payment,NetBanking,Web,Delhi,541.0,18.0,0.0,28940.3,0.0,0.89,3.0,0,A
T192,U6183,25882.093,Transfer,Wallet,Android,Delhi,1038.0,1.0,4.0,4224.42,0.0,0.556,8.0,0,A
T193,U3650,45025.88,Transfer,NetBanking,iOS,Mumbai,1954.0,6.0,4.0,4887.57,0.0,0.577,8.0,0,A
T194,U5701,31673.42,Withdrawal,Card,Web,Chennai,1579.0,10.0,2.0,8368.65,0.0,0.107,8.0,1,C
T195,U8420,16984.54,Payment,NetBanking,Android,Mumbai,149.0,22.0,1.0,14079.93,0.0,0.165,3.0,0,A
T196,U9588,17493.02,Transfer,Card,iOS,Mumbai,1061.0,12.0,3.0,5512.64,0.0,0.983,4.0,0,A
T197,U9358,36311.49,Withdrawal,Wallet,Android,Chennai,107.0,9.0,1.0,10271.31,0.0,0.77,2.0,0,A
T198,U5231,22355.56,Withdrawal,UPI,Web,Hyderabad,271.0,14.0,0.0,3199.23,0.0,0.026,3.0,0,A
T199,U3939,44359.97,Withdrawal,Card,Android,Mumbai,1791.0,20.0,0.0,12957.24,1.0,0.548,5.0,0,A
T200,U1446,39004.78,Transfer,UPI,iOS,Bangalore,28.0,6.0,4.0,24841.61,0.0,0.345,3.0,0,A
T201,U1679,32119.48,Transfer,UPI,iOS,Hyderabad,21.0,5.0,1.0,17892.1,0.0,0.312,4.0,0,A
T202,U5356,4252.79,Payment,UPI,iOS,Chennai,546.0,11.0,3.0,24323.76,0.0,0.557,7.0,0,A
T203,U5826,8123.35,Payment,UPI,Web,Delhi,1558.0,2.0,3.0,4157.81,1.0,0.32,3.0,0,A
T204,U6113,44932.78,Withdrawal,NetBanking,Android,Hyderabad,1498.0,15.0,4.0,12043.13,0.0,0.252,1.0,0,A
T205,U5101,30341.13,Withdrawal,Wallet,Android,Mumbai,1621.0,19.0,3.0,13880.775,0.0,0.938,1.0,0,A
T206,U6535,509.39,Transfer,NetBanking,iOS,Bangalore,268.0,8.0,2.0,11162.37,0.0,0.04,4.0,1,B
T207,U5362,5118.5,Transfer,Card,Android,Chennai,33.0,9.0,1.0,18473.48,0.0,0.436,1.0,0,A
T208,U4000,33191.91,Payment,Wallet,iOS,Delhi,1041.0,12.0,0.0,17109.19,0.0,0.511,6.0,0,A
T209,U9062,302.83,Payment,NetBanking,Android,Bangalore,1913.0,7.0,3.0,1903.65,0.0,0.44,4.0,0,A
T210,U4570,8082.36,Payment,UPI,Web,Delhi,237.0,5.0,3.0,1955.58,0.0,0.657,5.0,0,A
T211,U1634,27459.25,Transfer,NetBanking,Web,Chennai,385.0,2.0,3.0,9221.52,0.0,0.026,6.0,0,A
T212,U8304,34610.17,Withdrawal,NetBanking,Android,Hyderabad,1156.0,11.0,4.0,23164.84,0.0,0.885,2.0,0,A
T213,U2593,32615.46,Payment,Wallet,Web,Mumbai,1123.0,8.0,0.0,715.24,0.0,0.5045,1.0,0,A
