Date,Region,Units Sold,Inventory Level,Units Ordered,Price,Discount,Competitor Pricing,Seasonality
2022-02-25,East,5724,11599,4504,54.36,20,54.07,Winter
2022-02-26,East,5189,11052,4035,55.48,20,55.65,Winter
2022-02-27,East,5663,11295,4481,53.5,20,53.66,Winter
2022-02-28,East,6650,11948,3828,52.05,20,52.78,Winter
2022-03-01,East,4430,9112,4391,56.78,20,55.53,Winter
2022-03-02,East,5706,11274,4666,54.39,20,55.01,Winter
2022-03-03,East,5365,10138,4912,52.83,20,52.41,Winter
2022-03-04,East,5382,9784,4948,57.3,20,57.85,Winter
2022-03-05,East,6359,11776,4559,45.96,20,46.45,Winter
2022-03-06,East,5673,10970,4016,69.48,20,69.2,Winter
2022-03-07,East,5834,11893,4095,58.53,20,58.08,Winter
2022-03-08,East,5684,11679,4671,56.56,20,56.69,Winter
2022-03-09,East,5938,10671,4543,51.94,20,51.5,Winter
2022-03-10,East,5911,12120,4217,49.73,20,49.69,Winter
2022-03-11,East,5345,11222,4826,55.62,20,55.8,Winter
2022-03-12,East,4729,11187,4302,57.5,20,56.79,Winter
2022-03-13,East,6096,11848,4311,63.45,20,63.29,Winter
2022-03-14,East,4976,10959,4282,57.38,20,57.71,Winter
2022-03-15,East,4889,10510,4331,56.9,20,56.77,Winter
2022-03-16,East,5389,10609,3895,55.03,20,54.1,Winter
2022-03-17,East,4147,9911,4285,53.63,20,53.91,Winter
2022-03-18,East,6112,11112,4813,47.91,20,47.62,Winter
2022-03-19,East,5394,10002,3369,53.4,20,52.97,Winter
2022-03-20,East,4221,10001,4752,58.77,20,58.8,Winter
2022-03-21,East,6754,12130,4824,63.0,20,62.5,Spring
2022-03-22,East,4176,9606,3999,48.9,20,49.02,Spring
2022-03-23,East,5640,11230,4436,56.03,20,55.72,Spring
2022-03-24,East,6040,11750,4547,49.33,20,49.26,Spring
2022-03-25,East,6172,11327,4569,53.74,20,53.13,Spring
2022-03-26,East,5936,11301,4731,60.93,20,60.88,Spring
2022-03-27,East,6720,10872,3999,57.43,20,57.26,Spring
2022-03-28,East,4142,10286,4758,49.21,20,49.74,Spring
2022-03-29,East,5067,10923,4757,61.18,20,61.17,Spring
2022-03-30,East,4933,11044,4907,50.74,20,50.99,Spring
2022-03-31,East,5591,12206,4168,61.31,20,60.59,Spring
2022-04-01,East,4807,10549,4716,58.49,20,58.0,Spring
2022-04-02,East,5809,10266,4692,54.0,20,55.24,Spring
2022-04-03,East,5839,11125,4714,56.96,20,57.96,Spring
2022-04-04,East,4966,9942,4650,51.85,20,51.89,Spring
2022-04-05,East,4052,10081,4406,59.57,20,59.95,Spring
2022-04-06,East,4758,10428,4186,50.42,20,49.99,Spring
2022-04-07,East,6021,11618,4255,64.95,20,64.53,Spring
2022-04-08,East,6235,11526,4216,58.81,20,58.69,Spring
2022-04-09,East,5986,11990,4542,45.96,20,45.63,Spring
2022-04-10,East,4814,10967,4109,52.57,20,52.59,Spring
2022-04-11,East,5672,9973,4345,55.15,20,54.41,Spring
2022-04-12,East,6776,11540,4482,61.52,20,61.82,Spring
2022-04-13,East,5772,11530,3924,60.89,20,61.31,Spring
2022-04-14,East,5502,10501,4771,50.25,20,49.67,Spring
2022-04-15,East,4301,10083,5002,61.9,20,61.14,Spring
2022-04-16,East,5075,9473,4272,60.43,20,60.51,Spring
2022-04-17,East,5802,10870,4163,62.63,20,62.34,Spring
2022-04-18,East,5609,11337,4747,65.28,20,65.05,Spring
2022-04-19,East,6048,11373,4361,55.26,20,55.74,Spring
2022-04-20,East,5486,10964,4008,55.25,20,56.02,Spring
2022-04-21,East,5377,10500,3985,59.74,20,59.97,Spring
2022-04-22,East,4796,10058,4357,59.95,20,59.88,Spring
2022-04-23,East,4676,9529,4225,58.11,20,58.28,Spring
2022-04-24,East,5668,11250,4523,55.86,20,55.85,Spring
2022-04-25,East,5715,11468,5043,56.14,20,56.72,Spring
2022-04-26,East,5713,11131,4252,51.25,20,51.22,Spring
2022-04-27,East,5622,11287,4151,58.8,20,58.62,Spring
2022-04-28,East,5791,11845,4965,59.78,20,59.97,Spring
2022-04-29,East,4628,10417,4539,53.57,20,53.52,Spring
2022-04-30,East,5709,11046,4109,55.05,20,55.48,Spring
2022-05-01,East,5263,9989,4324,57.02,20,57.05,Spring
2022-05-02,East,4134,9930,4421,53.79,20,53.08,Spring
2022-05-03,East,4882,11141,4111,58.07,20,57.34,Spring
2022-05-04,East,4911,11030,4732,47.95,20,47.79,Spring
2022-05-05,East,4812,9873,4268,50.14,20,50.06,Spring
2022-05-06,East,6643,12331,4672,53.37,20,53.91,Spring
2022-05-07,East,5140,11294,4205,52.09,20,52.63,Spring
2022-05-08,East,5781,11656,4600,53.4,20,53.1,Spring
2022-05-09,East,5490,10521,4210,47.98,20,47.66,Spring
2022-05-10,East,5074,11173,4453,56.23,20,55.85,Spring
2022-05-11,East,4711,10161,4268,52.95,20,53.09,Spring
2022-05-12,East,4721,9867,3872,55.2,20,55.7,Spring
2022-05-13,East,4034,9471,4710,56.63,20,56.02,Spring
2022-05-14,East,5260,10141,4232,51.19,20,51.18,Spring
2022-05-15,East,5921,10302,5005,53.48,20,54.01,Spring
2022-05-16,East,5712,11154,4476,53.81,20,53.45,Spring
2022-05-17,East,5150,10705,4461,48.07,20,47.27,Spring
2022-05-18,East,5477,11812,4317,51.81,20,51.34,Spring
2022-05-19,East,5407,10547,4155,48.78,20,48.43,Spring
2022-05-20,East,4141,10496,3783,54.86,20,54.96,Spring
2022-05-21,East,4898,10496,4776,59.32,20,59.39,Spring
2022-05-22,East,5843,10682,4162,57.12,20,56.72,Spring
2022-05-23,East,5181,11477,4385,54.85,20,53.81,Spring
2022-05-24,East,5734,10834,4588,55.86,20,56.09,Spring
2022-05-25,East,6007,11409,4139,53.89,20,53.53,Spring
2022-05-26,East,5035,10316,4074,55.04,20,54.98,Spring
2022-05-27,East,4416,10540,4045,54.18,20,54.95,Spring
2022-05-28,East,5448,11771,4575,57.57,20,57.54,Spring
2022-05-29,East,4789,11171,4655,49.37,20,49.41,Spring
2022-05-30,East,4666,10490,4382,57.06,20,56.79,Spring
2022-05-31,East,4584,8706,4693,55.79,20,56.11,Spring
2022-06-01,East,4683,11306,4016,61.02,20,60.77,Spring
2022-06-02,East,5725,10915,4292,54.66,20,55.74,Spring
2022-06-03,East,5636,11236,4356,58.74,20,59.47,Spring
2022-06-04,East,5177,10985,4371,57.93,20,58.71,Spring
2022-06-05,East,4259,9349,4063,52.46,20,52.72,Spring
2022-06-06,East,5087,10835,4489,56.79,20,56.69,Spring
2022-06-07,East,4770,11203,4093,56.9,20,56.91,Spring
2022-06-08,East,4875,12039,4206,55.95,20,56.36,Spring
2022-06-09,East,4695,11685,4476,56.12,20,56.08,Spring
2022-06-10,East,5498,11520,3800,57.01,20,57.57,Spring
2022-06-11,East,5600,11071,3959,57.82,20,57.02,Spring
2022-06-12,East,5048,11622,4267,56.53,20,56.85,Spring
2022-06-13,East,5690,11628,5266,55.01,20,54.98,Spring
2022-06-14,East,5525,12275,4696,49.28,20,49.37,Spring
2022-06-15,East,5726,10633,4093,62.28,20,62.45,Spring
2022-06-16,East,6860,11711,4820,55.27,20,55.2,Spring
2022-06-17,East,5938,11169,4829,56.63,20,56.74,Spring
2022-06-18,East,5430,10939,5171,49.59,20,49.41,Spring
2022-06-19,East,5493,11290,4303,56.23,20,55.73,Spring
2022-06-20,East,5744,11449,4505,56.8,20,56.19,Spring
2022-06-21,East,6682,11271,4351,60.33,20,60.41,Summer
2022-06-22,East,5168,10305,4250,59.67,20,58.73,Summer
2022-06-23,East,6567,12321,4172,53.48,20,53.97,Summer
2022-06-24,East,5096,11219,3920,55.62,20,55.05,Summer
2022-06-25,East,5071,11117,4393,43.74,20,44.12,Summer
2022-06-26,East,5412,11212,4788,46.63,20,46.36,Summer
2022-06-27,East,5041,10855,3973,57.22,20,57.46,Summer
2022-06-28,East,4963,10364,4293,58.71,20,58.69,Summer
2022-06-29,East,4664,10708,4642,47.75,20,47.54,Summer
2022-06-30,East,5806,10889,4556,58.41,20,57.96,Summer
2022-07-01,East,4393,11006,4582,60.83,20,60.58,Summer
2022-07-02,East,4658,10138,4090,62.75,20,62.56,Summer
2022-07-03,East,5256,10496,3986,58.73,20,58.38,Summer
2022-07-04,East,4829,10533,4579,63.91,20,63.79,Summer
2022-07-05,East,5641,10762,3601,49.94,20,50.09,Summer
2022-07-06,East,4234,9153,4427,54.72,20,54.26,Summer
2022-07-07,East,5563,11539,4771,54.63,20,55.41,Summer
2022-07-08,East,5571,9978,4860,53.64,20,53.18,Summer
2022-07-09,East,5294,10299,4182,56.62,20,57.3,Summer
2022-07-10,East,4815,11025,3740,51.14,20,51.56,Summer
2022-07-11,East,4901,10579,4091,53.82,20,54.05,Summer
2022-07-12,East,4795,10360,4318,62.91,20,63.11,Summer
2022-07-13,East,5011,9245,4430,59.53,20,59.86,Summer
2022-07-14,East,4629,10675,4742,53.7,20,53.68,Summer
2022-07-15,East,6804,11406,4424,59.77,20,58.89,Summer
2022-07-16,East,5643,11504,3910,43.68,20,44.19,Summer
2022-07-17,East,5444,12076,4588,49.86,20,49.93,Summer
2022-07-18,East,6115,12414,4301,56.39,20,56.13,Summer
2022-07-19,East,5549,11293,4172,51.11,20,51.5,Summer
2022-07-20,East,4709,10951,4448,58.93,20,57.36,Summer
2022-07-21,East,4849,11420,4124,50.78,20,51.53,Summer
2022-07-22,East,6194,12137,5044,63.62,20,63.29,Summer
2022-07-23,East,5909,10689,4119,52.85,20,52.74,Summer
2022-07-24,East,5354,11556,3911,59.64,20,58.49,Summer
2022-07-25,East,5447,10745,4460,53.55,20,53.41,Summer
2022-07-26,East,5126,11351,4751,53.82,20,53.82,Summer
2022-07-27,East,5857,10627,4583,59.61,20,59.81,Summer
2022-07-28,East,5842,9838,4518,57.72,20,57.0,Summer
2022-07-29,East,5714,11210,4209,49.22,20,49.21,Summer
2022-07-30,East,4924,10391,4653,47.64,20,47.73,Summer
2022-07-31,East,4272,9463,4512,55.87,20,55.94,Summer
2022-08-01,East,5639,10078,4696,52.71,20,53.39,Summer
2022-08-02,East,5150,10929,4204,55.91,20,56.26,Summer
2022-08-03,East,6126,11504,3848,53.6,20,53.65,Summer
2022-08-04,East,5060,11278,4363,47.35,20,46.51,Summer
2022-08-05,East,5253,11461,4124,57.81,20,57.62,Summer
2022-08-06,East,4839,10237,4444,58.21,20,58.22,Summer
2022-08-07,East,5918,11214,4064,54.43,20,54.81,Summer
2022-08-08,East,6194,11531,4386,50.09,20,49.93,Summer
2022-08-09,East,3735,9369,5008,59.5,20,59.55,Summer
2022-08-10,East,6208,11794,4469,57.07,20,56.62,Summer
2022-08-11,East,4606,11448,4482,55.19,20,54.84,Summer
2022-08-12,East,5960,10937,4606,59.45,20,58.98,Summer
2022-08-13,East,5885,10912,4657,54.78,20,55.48,Summer
2022-08-14,East,5688,10614,4145,57.41,20,57.05,Summer
2022-08-15,East,5562,10530,4371,51.86,20,50.88,Summer
2022-08-16,East,5355,11198,4151,58.2,20,57.66,Summer
2022-08-17,East,7131,12143,3536,54.06,20,54.4,Summer
2022-08-18,East,6279,11824,4492,49.53,20,49.18,Summer
2022-08-19,East,5482,10685,4432,59.39,20,58.9,Summer
2022-08-20,East,3832,10627,4460,58.24,20,58.6,Summer
2022-08-21,East,4386,11210,4278,51.97,20,52.13,Summer
2022-08-22,East,4808,10323,4859,55.16,20,55.37,Summer
2022-08-23,East,5444,10546,4378,56.75,20,56.34,Summer
2022-08-24,East,5250,10579,3953,51.42,20,51.8,Summer
2022-08-25,East,4537,9632,4840,52.24,20,51.84,Summer
2022-08-26,East,5538,10752,4737,47.22,20,47.55,Summer
2022-08-27,East,5894,12335,4129,51.68,20,52.17,Summer
2022-08-28,East,5440,11101,4218,54.89,20,54.28,Summer
2022-08-29,East,5550,11198,4607,51.43,20,51.65,Summer
2022-08-30,East,4899,10104,3915,55.55,20,55.42,Summer
2022-08-31,East,5272,9713,5665,53.74,20,53.76,Summer
2022-09-01,East,5621,11324,4362,60.66,20,61.05,Summer
2022-09-02,East,5890,12179,3645,51.45,20,51.22,Summer
2022-09-03,East,5584,11900,4657,53.08,20,53.03,Summer
2022-09-04,East,7154,12898,4405,59.69,20,60.34,Summer
2022-09-05,East,5044,11267,3937,55.9,20,55.6,Summer
2022-09-06,East,5773,11892,4453,59.83,20,59.66,Summer
2022-09-07,East,5555,9537,3840,50.6,20,50.33,Summer
2022-09-08,East,5410,11481,4714,48.92,20,48.35,Summer
2022-09-09,East,4282,10780,4566,64.51,20,64.04,Summer
2022-09-10,East,6182,11944,4427,49.99,20,49.37,Summer
2022-09-11,East,4848,11505,4291,54.68,20,54.04,Summer
2022-09-12,East,5944,12166,4292,67.74,20,68.44,Summer
2022-09-13,East,6076,11271,4692,55.75,20,55.37,Summer
2022-09-14,East,4662,9677,4540,55.55,20,56.13,Summer
2022-09-15,East,5126,10415,4454,52.89,20,52.46,Summer
2022-09-16,East,5390,10204,4818,58.83,20,58.7,Summer
2022-09-17,East,5335,11421,4811,57.83,20,57.44,Summer
2022-09-18,East,5791,10509,4272,52.4,20,53.13,Summer
2022-09-19,East,5848,10418,4007,60.84,20,60.3,Summer
2022-09-20,East,4974,12761,4310,52.81,20,53.7,Summer
2022-09-21,East,5081,11794,4833,56.94,20,56.4,Autumn
2022-09-22,East,5462,11404,4462,61.87,20,62.34,Autumn
2022-09-23,East,5750,10933,3888,60.48,20,59.91,Autumn
2022-09-24,East,6289,11954,4076,57.81,20,57.75,Autumn
2022-09-25,East,5498,11490,4165,55.36,20,55.38,Autumn
2022-09-26,East,4893,10772,4397,49.63,20,49.77,Autumn
2022-09-27,East,5224,12041,4520,58.29,20,58.3,Autumn
2022-09-28,East,5404,10865,4722,50.12,20,49.84,Autumn
2022-09-29,East,5588,11435,4087,51.59,20,51.48,Autumn
2022-09-30,East,4930,11334,3882,59.5,20,58.91,Autumn
2022-10-01,East,6019,12070,4147,53.96,20,54.55,Autumn
2022-10-02,East,6152,11967,4289,47.53,20,47.67,Autumn
2022-10-03,East,5311,11831,4865,59.9,20,60.22,Autumn
2022-10-04,East,5505,11239,4937,55.76,20,56.15,Autumn
2022-10-05,East,4724,8878,3999,54.61,20,54.6,Autumn
2022-10-06,East,4645,11264,4309,52.3,20,52.41,Autumn
2022-10-07,East,5768,11417,4367,58.41,20,58.62,Autumn
2022-10-08,East,6306,10956,4593,53.35,20,52.33,Autumn
2022-10-09,East,5792,10826,4734,52.83,20,52.88,Autumn
2022-10-10,East,5066,10735,4184,53.37,20,52.79,Autumn
2022-10-11,East,4744,10675,4109,57.94,20,57.75,Autumn
2022-10-12,East,5546,11556,4636,56.44,20,56.66,Autumn
2022-10-13,East,5693,11618,4355,62.89,20,62.37,Autumn
2022-10-14,East,5308,11043,4644,54.47,20,54.3,Autumn
2022-10-15,East,5635,9913,4614,58.32,20,58.23,Autumn
2022-10-16,East,5355,11333,4660,57.85,20,57.51,Autumn
2022-10-17,East,5649,11269,4296,54.25,20,53.67,Autumn
2022-10-18,East,5864,12449,4563,51.18,20,51.19,Autumn
2022-10-19,East,5691,11075,4340,57.63,20,57.26,Autumn
2022-10-20,East,6307,11708,4246,54.65,20,54.7,Autumn
2022-10-21,East,4618,9981,3945,55.71,20,56.19,Autumn
2022-10-22,East,5221,10901,4603,51.79,20,52.24,Autumn
2022-10-23,East,5679,11248,4143,55.71,20,55.89,Autumn
2022-10-24,East,6142,10565,4238,55.28,20,55.63,Autumn
2022-10-25,East,5843,11086,4871,52.42,20,52.13,Autumn
2022-10-26,East,4739,11012,4647,52.5,20,51.64,Autumn
2022-10-27,East,5213,10563,4881,54.36,20,53.19,Autumn
2022-10-28,East,5545,11360,4485,54.81,20,54.95,Autumn
2022-10-29,East,5736,10815,3763,56.23,20,56.81,Autumn
2022-10-30,East,4929,12177,4142,61.59,20,61.01,Autumn
2022-10-31,East,5601,10110,4619,51.03,20,50.61,Autumn
2022-11-01,East,6393,12036,4315,54.94,20,55.05,Autumn
2022-11-02,East,5151,11642,3472,48.66,20,48.61,Autumn
2022-11-03,East,4275,9646,4362,55.59,20,55.16,Autumn
2022-11-04,East,5430,10978,4380,61.91,20,60.91,Autumn
2022-11-05,East,5963,11091,4510,54.84,20,54.66,Autumn
2022-11-06,East,5612,10453,3919,59.4,20,59.03,Autumn
2022-11-07,East,5729,12113,4854,62.34,20,62.35,Autumn
2022-11-08,East,5191,10266,4063,52.08,20,52.3,Autumn
2022-11-09,East,5615,10820,4344,53.6,20,53.34,Autumn
2022-11-10,East,4317,10289,4599,50.07,20,50.02,Autumn
2022-11-11,East,5855,12372,4199,55.72,20,55.41,Autumn
2022-11-12,East,5494,11686,3740,51.8,20,52.29,Autumn
2022-11-13,East,4931,11158,5039,48.57,20,48.22,Autumn
2022-11-14,East,5605,11292,4258,60.95,20,60.73,Autumn
2022-11-15,East,4705,9687,3936,56.26,20,56.14,Autumn
2022-11-16,East,5061,10726,4395,57.77,20,57.75,Autumn
2022-11-17,East,5985,10648,4534,59.33,20,58.84,Autumn
2022-11-18,East,4620,10092,4506,56.62,20,56.69,Autumn
2022-11-19,East,5447,11187,4363,58.67,20,59.29,Autumn
2022-11-20,East,5404,10870,4245,55.61,20,55.13,Autumn
2022-11-21,East,6981,12655,4460,47.07,20,47.23,Autumn
2022-11-22,East,6071,11042,5005,49.2,20,48.93,Autumn
2022-11-23,East,6092,11331,4458,57.68,20,56.9,Autumn
2022-11-24,East,5412,9852,4495,58.32,20,58.22,Autumn
2022-11-25,East,6456,11135,4166,52.87,20,52.75,Autumn
2022-11-26,East,6296,10942,5064,54.29,20,53.61,Autumn
2022-11-27,East,5943,11663,4146,54.44,20,54.18,Autumn
2022-11-28,East,4598,9798,5129,53.8,20,54.69,Autumn
2022-11-29,East,6396,11299,4344,56.5,20,56.74,Autumn
2022-11-30,East,6302,11882,4058,53.52,20,54.0,Autumn
2022-12-01,East,4842,9609,4396,56.73,20,56.72,Autumn
2022-12-02,East,5809,10638,4116,49.91,20,49.88,Autumn
2022-12-03,East,4821,10539,4330,48.19,20,48.62,Autumn
2022-12-04,East,5530,10379,4148,47.44,20,48.26,Autumn
2022-12-05,East,5312,10301,4819,60.01,20,60.57,Autumn
2022-12-06,East,6471,11337,4769,55.07,20,55.17,Autumn
2022-12-07,East,5517,11940,4112,51.62,20,52.14,Autumn
2022-12-08,East,4272,10043,4094,58.95,20,59.35,Autumn
2022-12-09,East,5788,10883,4578,52.88,20,52.8,Autumn
2022-12-10,East,4149,10167,4345,57.02,20,56.72,Autumn
2022-12-11,East,5931,12031,4175,60.29,20,60.98,Autumn
2022-12-12,East,5619,11862,5277,53.41,20,53.77,Autumn
2022-12-13,East,4483,9794,4644,50.95,20,50.44,Autumn
2022-12-14,East,5162,11145,4284,59.53,20,59.87,Autumn
2022-12-15,East,4828,11092,4453,59.46,20,59.28,Autumn
2022-12-16,East,6417,12147,4279,57.36,20,57.58,Autumn
2022-12-17,East,4457,9195,4781,51.83,20,51.82,Autumn
2022-12-18,East,5922,10649,4176,54.91,20,54.68,Autumn
2022-12-19,East,5124,10789,4017,54.88,20,55.34,Autumn
2022-12-20,East,4693,10431,4411,50.85,20,51.12,Autumn
2022-12-21,East,4864,10195,4138,59.0,20,59.05,Winter
2022-12-22,East,5582,11525,4688,55.74,20,56.05,Winter
2022-12-23,East,5310,10724,4568,57.89,20,57.63,Winter
2022-12-24,East,5049,10079,4112,49.8,20,49.92,Winter
2022-12-25,East,6007,11726,4336,52.37,20,51.78,Winter
2022-12-26,East,6358,12010,4448,58.26,20,57.67,Winter
2022-12-27,East,5178,10416,4654,50.01,20,50.67,Winter
2022-12-28,East,4217,11287,3823,51.38,20,51.57,Winter
2022-12-29,East,5617,11498,4369,54.65,20,54.73,Winter
2022-12-30,East,4942,10696,4558,54.66,20,54.64,Winter
2022-12-31,East,4773,10115,5053,55.15,20,55.25,Winter
2023-01-01,East,5692,12110,4187,50.87,20,51.6,Winter
2023-01-02,East,6078,11295,4335,52.88,20,52.87,Winter
2023-01-03,East,5442,11428,4464,49.09,20,49.35,Winter
2023-01-04,East,5066,11145,4477,52.71,20,53.68,Winter
2023-01-05,East,5261,11619,4786,59.17,20,59.47,Winter
2023-01-06,East,4877,10563,3521,62.12,20,62.32,Winter
2023-01-07,East,4078,10388,4536,56.85,20,56.67,Winter
2023-01-08,East,5362,9985,4030,58.85,20,58.95,Winter
2023-01-09,East,4639,9865,4193,56.5,20,55.99,Winter
2023-01-10,East,4919,10832,4312,54.12,20,54.34,Winter
2023-01-11,East,5179,9917,4665,63.72,20,63.84,Winter
2023-01-12,East,6357,11793,4774,58.62,20,57.96,Winter
2023-01-13,East,5446,9762,4329,59.51,20,59.36,Winter
2023-01-14,East,5940,12314,4595,51.9,20,51.67,Winter
2023-01-15,East,6401,11352,4649,52.42,20,52.38,Winter
2023-01-16,East,5171,11143,4893,51.15,20,50.79,Winter
2023-01-17,East,6346,12192,4487,55.24,20,54.76,Winter
2023-01-18,East,6168,12756,3935,53.5,20,53.58,Winter
2023-01-19,East,5237,10862,4339,59.32,20,59.65,Winter
2023-01-20,East,5390,10464,4326,53.68,20,54.65,Winter
2023-01-21,East,5127,11130,4646,50.89,20,50.6,Winter
2023-01-22,East,5810,11559,4335,51.81,20,52.39,Winter
2023-01-23,East,5551,10888,4210,58.95,20,58.8,Winter
2023-01-24,East,5748,11843,4199,59.01,20,59.69,Winter
2023-01-25,East,4680,10685,4784,47.19,20,47.17,Winter
2023-01-26,East,7048,12335,4109,54.37,20,54.23,Winter
2023-01-27,East,6109,11824,4279,50.83,20,50.61,Winter
2023-01-28,East,5971,12043,4232,58.84,20,59.62,Winter
2023-01-29,East,5342,11246,4467,57.46,20,57.73,Winter
2023-01-30,East,4924,11236,4339,56.34,20,56.74,Winter
2023-01-31,East,5163,9752,4206,56.82,20,56.08,Winter
2023-02-01,East,5138,10975,4057,54.66,20,55.06,Winter
2023-02-02,East,4465,10898,4469,52.22,20,52.57,Winter
2023-02-03,East,4096,8939,4625,55.27,20,55.24,Winter
2023-02-04,East,5067,11416,4691,52.11,20,51.23,Winter
2023-02-05,East,5389,11190,4180,54.66,20,54.53,Winter
2023-02-06,East,5414,11423,4485,59.5,20,59.44,Winter
2023-02-07,East,4984,10842,4285,55.23,20,55.73,Winter
2023-02-08,East,5503,10632,4305,60.7,20,61.2,Winter
2023-02-09,East,4921,10761,3780,57.58,20,56.82,Winter
2023-02-10,East,5936,12145,4663,63.01,20,63.51,Winter
2023-02-11,East,6282,12294,4446,47.53,20,47.34,Winter
2023-02-12,East,5927,11040,4449,52.73,20,51.83,Winter
2023-02-13,East,6130,11024,4388,57.2,20,57.0,Winter
2023-02-14,East,5758,10021,4350,50.86,20,50.88,Winter
2023-02-15,East,4550,11361,4795,60.09,20,60.66,Winter
2023-02-16,East,5133,11437,3878,51.49,20,51.34,Winter
2023-02-17,East,5682,10025,3761,57.51,20,58.18,Winter
2023-02-18,East,5915,10482,3733,54.83,20,54.67,Winter
2023-02-19,East,4784,10479,4569,61.76,20,61.97,Winter
2023-02-20,East,5102,10399,4649,52.93,20,53.22,Winter
2023-02-21,East,6365,11929,4756,55.88,20,56.05,Winter
2023-02-22,East,5832,11371,4124,58.36,20,58.11,Winter
2023-02-23,East,6095,10632,4345,57.82,20,58.01,Winter
2023-02-24,East,5884,10387,4827,54.21,20,55.07,Winter
2023-02-25,East,5552,10618,4440,52.07,20,51.92,Winter
2023-02-26,East,5171,10955,4041,57.15,20,56.79,Winter
2023-02-27,East,4890,8946,4868,50.49,20,50.37,Winter
2023-02-28,East,6357,11006,4254,58.75,20,59.51,Winter
2023-03-01,East,5154,10809,4752,50.67,20,50.78,Winter
2023-03-02,East,6348,11338,4777,52.24,20,52.62,Winter
2023-03-03,East,6125,11374,4197,57.43,20,57.32,Winter
2023-03-04,East,5983,11470,4192,57.15,20,57.05,Winter
2023-03-05,East,6437,11210,4792,55.12,20,55.7,Winter
2023-03-06,East,5385,10569,4371,61.78,20,62.84,Winter
2023-03-07,East,5729,11647,4638,63.85,20,64.14,Winter
