Date,Store ID,Units Sold,Inventory Level,Units Ordered,Price,Discount,Competitor Pricing,Region,Weather Condition,Seasonality
2022-04-13,S001,2764,5523,2077,61.88,20,61.79,East,Snowy,Spring
2022-04-14,S001,2368,5178,2522,58.06,20,56.7,East,Sunny,Spring
2022-04-15,S001,1754,4649,2580,65.86,20,64.93,East,Sunny,Spring
2022-04-16,S001,2426,4939,2365,59.91,20,60.3,East,Sunny,Spring
2022-04-17,S001,3126,5595,2121,66.96,20,66.13,East,Cloudy,Spring
2022-04-18,S001,2647,6215,2198,68.8,20,68.06,East,Sunny,Spring
2022-04-19,S001,2360,4682,2003,53.52,20,52.73,East,Sunny,Spring
2022-04-20,S001,2876,5593,2035,57.0,20,57.42,East,Rainy,Spring
2022-04-21,S001,3158,5450,1660,60.98,20,60.94,East,Rainy,Spring
2022-04-22,S001,2501,4750,2241,56.32,20,56.58,East,Snowy,Spring
2022-04-23,S001,2228,5013,2120,61.7,20,62.38,East,Sunny,Spring
2022-04-24,S001,2920,5730,2311,61.19,20,61.42,East,Rainy,Spring
2022-04-25,S001,2985,5378,2478,58.04,20,58.43,East,Cloudy,Spring
2022-04-26,S001,2480,5308,2045,47.6,20,47.12,East,Rainy,Spring
2022-04-27,S001,2568,5354,2194,65.89,20,65.33,East,Sunny,Spring
2022-04-28,S001,3429,5915,2471,55.35,20,54.94,East,Rainy,Spring
2022-04-29,S001,2062,5676,1937,57.14,20,57.15,East,Rainy,Spring
2022-04-30,S001,3214,5911,1981,50.61,20,51.64,East,Rainy,Spring
2022-05-01,S001,1930,4482,2424,57.61,20,56.92,East,Cloudy,Spring
2022-05-02,S001,1788,5197,2213,54.51,20,54.11,East,Cloudy,Spring
2022-05-03,S001,2444,4670,2125,60.05,20,59.71,East,Cloudy,Spring
2022-05-04,S001,2435,5960,2552,48.94,20,48.35,East,Cloudy,Spring
2022-05-05,S001,2215,4955,2199,47.47,20,47.55,East,Sunny,Spring
2022-05-06,S001,2881,5884,2295,52.56,20,53.56,East,Rainy,Spring
2022-05-07,S001,2581,5755,2193,52.05,20,53.18,East,Rainy,Spring
2022-05-08,S001,3044,6108,2230,53.08,20,52.39,East,Sunny,Spring
2022-05-09,S001,2977,5624,2089,51.1,20,50.52,East,Sunny,Spring
2022-05-10,S001,2900,5817,2373,60.19,20,59.04,East,Rainy,Spring
2022-05-11,S001,2298,5129,2472,57.33,20,57.28,East,Snowy,Spring
2022-05-12,S001,1549,4642,1927,60.23,20,60.71,East,Rainy,Spring
2022-05-13,S001,2260,4552,2353,58.46,20,57.18,East,Sunny,Spring
2022-05-14,S001,3136,5483,2024,50.15,20,49.04,East,Snowy,Spring
2022-05-15,S001,3279,5354,2800,48.26,20,49.17,East,Snowy,Spring
2022-05-16,S001,2421,5213,2268,55.03,20,55.06,East,Snowy,Spring
2022-05-17,S001,2902,5702,2227,46.78,20,46.0,East,Cloudy,Spring
2022-05-18,S001,2850,5916,1949,49.56,20,48.77,East,Sunny,Spring
2022-05-19,S001,2555,5112,2054,46.33,20,45.74,East,Sunny,Spring
2022-05-20,S001,2077,5465,2227,58.35,20,58.6,East,Rainy,Spring
2022-05-21,S001,2058,4102,2309,61.08,20,61.21,East,Rainy,Spring
2022-05-22,S001,2344,4746,2111,57.36,20,56.79,East,Rainy,Spring
2022-05-23,S001,2911,6111,2256,50.62,20,49.56,East,Cloudy,Spring
2022-05-24,S001,2945,5373,2222,49.24,20,48.66,East,Cloudy,Spring
2022-05-25,S001,2955,5786,2058,48.81,20,47.44,East,Sunny,Spring
2022-05-26,S001,2606,4944,1966,51.2,20,50.71,East,Sunny,Spring
2022-05-27,S001,1928,5708,1971,51.51,20,52.46,East,Cloudy,Spring
2022-05-28,S001,2809,5654,2457,60.5,20,60.07,East,Cloudy,Spring
2022-05-29,S001,3014,6181,2306,53.13,20,53.93,East,Rainy,Spring
2022-05-30,S001,2536,5478,2329,48.82,20,48.76,East,Cloudy,Spring
2022-05-31,S001,2635,4563,2622,61.65,20,61.83,East,Snowy,Spring
2022-06-01,S001,2168,5977,1988,57.36,20,58.22,East,Rainy,Spring
2022-06-02,S001,2918,5835,2081,54.43,20,56.33,East,Sunny,Spring
2022-06-03,S001,2392,5687,2470,63.24,20,63.75,East,Rainy,Spring
2022-06-04,S001,2372,5412,2289,57.36,20,58.34,East,Snowy,Spring
2022-06-05,S001,1529,4648,2051,62.94,20,62.86,East,Rainy,Spring
2022-06-06,S001,2246,5217,2270,59.46,20,58.78,East,Rainy,Spring
2022-06-07,S001,2804,5851,2115,66.16,20,66.37,East,Rainy,Spring
2022-06-08,S001,2334,5657,2084,57.31,20,58.2,East,Cloudy,Spring
2022-06-09,S001,2439,5992,2126,56.13,20,56.17,East,Sunny,Spring
2022-06-10,S001,2672,5586,2229,53.27,20,55.05,East,Snowy,Spring
2022-06-11,S001,2563,5388,2006,59.54,20,57.93,East,Rainy,Spring
2022-06-12,S001,2098,4751,1886,55.16,20,54.93,East,Snowy,Spring
2022-06-13,S001,3105,5637,2864,52.43,20,51.89,East,Rainy,Spring
2022-06-14,S001,2504,5964,2459,51.23,15,51.93,East,Sunny,Spring
2022-06-15,S001,2811,5425,1960,65.17,20,66.47,East,Cloudy,Spring
2022-06-16,S001,3899,6313,2186,49.0,20,48.81,East,Cloudy,Spring
2022-06-17,S001,3026,5634,2537,57.87,20,57.21,East,Cloudy,Spring
2022-06-18,S001,2754,5552,2412,48.87,20,48.81,East,Sunny,Spring
2022-06-19,S001,3035,6381,2247,57.34,20,55.99,East,Sunny,Spring
2022-06-20,S001,2300,5847,2656,57.61,20,57.76,East,Rainy,Spring
2022-06-21,S001,3755,6412,2392,64.7,20,64.94,East,Cloudy,Summer
2022-06-22,S001,2776,5109,2149,52.43,20,52.06,East,Rainy,Summer
2022-06-23,S001,2864,6387,2161,54.77,20,55.02,East,Rainy,Summer
2022-06-24,S001,2734,5858,2056,55.06,20,54.52,East,Sunny,Summer
2022-06-25,S001,2289,5503,2014,43.54,20,43.16,East,Snowy,Summer
2022-06-26,S001,2250,5501,2501,47.3,20,46.75,East,Rainy,Summer
2022-06-27,S001,2414,5786,2006,50.58,20,51.03,East,Snowy,Summer
2022-06-28,S001,2608,5642,2167,63.7,20,63.92,East,Cloudy,Summer
2022-06-29,S001,2459,4779,2214,51.09,20,51.47,East,Sunny,Summer
2022-06-30,S001,2660,5382,2045,58.9,20,58.55,East,Cloudy,Summer
2022-07-01,S001,1813,5075,2195,64.34,20,64.06,East,Snowy,Summer
2022-07-02,S001,2648,4788,1815,57.98,20,57.71,East,Sunny,Summer
2022-07-03,S001,2686,5116,1975,57.61,20,56.81,East,Snowy,Summer
2022-07-04,S001,2017,4729,2268,69.72,20,69.89,East,Rainy,Summer
2022-07-05,S001,3054,5653,1580,49.75,20,50.5,East,Cloudy,Summer
2022-07-06,S001,1796,4482,2237,53.5,20,53.28,East,Cloudy,Summer
2022-07-07,S001,2783,5470,2393,60.82,20,61.38,East,Cloudy,Summer
2022-07-08,S001,2941,5015,2369,57.57,20,57.94,East,Rainy,Summer
2022-07-09,S001,2234,4733,2165,59.33,20,60.46,East,Snowy,Summer
2022-07-10,S001,2592,5760,1809,53.22,20,52.82,East,Rainy,Summer
2022-07-11,S001,2861,5645,2184,54.77,20,54.43,East,Cloudy,Summer
2022-07-12,S001,2465,5080,2106,63.37,20,63.73,East,Sunny,Summer
2022-07-13,S001,2740,5339,2255,60.86,20,61.37,East,Sunny,Summer
2022-07-14,S001,2975,6034,2472,58.4,20,57.97,East,Snowy,Summer
2022-07-15,S001,2737,5054,2200,64.39,20,63.11,East,Snowy,Summer
2022-07-16,S001,2948,6117,1975,43.1,20,43.74,East,Sunny,Summer
2022-07-17,S001,2774,5738,2455,56.83,20,56.77,East,Sunny,Summer
2022-07-18,S001,2986,6271,1929,51.67,20,50.86,East,Cloudy,Summer
2022-07-19,S001,2458,5079,2143,53.08,20,53.85,East,Sunny,Summer
2022-07-20,S001,2301,5203,2257,56.79,20,55.02,East,Cloudy,Summer
2022-07-21,S001,2699,6059,2404,45.3,20,46.45,East,Rainy,Summer
2022-07-22,S001,3172,5429,2324,60.98,20,60.92,East,Sunny,Summer
2022-07-23,S001,3451,5614,2104,59.57,20,60.11,East,Snowy,Summer
2022-07-24,S001,2725,5977,2052,56.64,20,55.91,East,Snowy,Summer
2022-07-25,S001,2291,4935,2262,57.57,20,57.76,East,Snowy,Summer
2022-07-26,S001,2576,6066,2478,55.34,20,55.36,East,Snowy,Summer
2022-07-27,S001,2549,4757,2229,50.8,20,51.23,East,Cloudy,Summer
2022-07-28,S001,2488,4909,2066,51.77,15,50.82,East,Cloudy,Summer
2022-07-29,S001,3128,5254,2192,48.85,20,48.5,East,Snowy,Summer
2022-07-30,S001,2097,5124,1824,49.89,20,49.42,East,Cloudy,Summer
2022-07-31,S001,2553,5108,2047,54.94,20,54.61,East,Sunny,Summer
2022-08-01,S001,2440,4763,2498,48.57,20,49.02,East,Sunny,Summer
2022-08-02,S001,2694,5786,2221,55.91,20,56.94,East,Rainy,Summer
2022-08-03,S001,3099,5298,1995,59.84,20,59.97,East,Cloudy,Summer
2022-08-04,S001,2515,5087,2087,47.71,20,47.12,East,Cloudy,Summer
2022-08-05,S001,3024,5679,2243,58.13,20,57.25,East,Snowy,Summer
2022-08-06,S001,2820,5191,1742,54.58,20,55.11,East,Cloudy,Summer
2022-08-07,S001,3107,5798,1816,60.57,20,61.58,East,Snowy,Summer
2022-08-08,S001,3418,6181,2103,50.24,20,49.58,East,Snowy,Summer
2022-08-09,S001,1568,4241,2861,60.08,20,60.26,East,Sunny,Summer
2022-08-10,S001,2718,6047,2144,57.54,20,57.04,East,Rainy,Summer
2022-08-11,S001,1901,5057,2694,57.49,20,57.52,East,Rainy,Summer
2022-08-12,S001,2994,5459,2324,60.26,20,59.49,East,Cloudy,Summer
2022-08-13,S001,3066,5721,2221,57.06,20,58.22,East,Rainy,Summer
2022-08-14,S001,2989,5588,1704,59.56,20,59.36,East,Cloudy,Summer
2022-08-15,S001,2925,5415,2075,61.66,20,60.9,East,Snowy,Summer
2022-08-16,S001,2964,5808,2104,57.39,20,57.12,East,Rainy,Summer
2022-08-17,S001,3789,6459,1919,56.24,20,56.42,East,Cloudy,Summer
2022-08-18,S001,3131,6224,2280,44.43,20,44.24,East,Sunny,Summer
2022-08-19,S001,2718,5229,2080,52.86,20,52.15,East,Cloudy,Summer
2022-08-20,S001,1959,5352,2284,56.24,20,57.37,East,Rainy,Summer
2022-08-21,S001,2133,5832,2469,48.38,20,48.64,East,Cloudy,Summer
2022-08-22,S001,2170,4890,2400,55.6,20,55.07,East,Snowy,Summer
2022-08-23,S001,3141,5958,2018,55.0,20,54.57,East,Rainy,Summer
2022-08-24,S001,2577,5378,2105,51.93,20,51.84,East,Rainy,Summer
2022-08-25,S001,1857,4203,2277,47.82,20,47.74,East,Cloudy,Summer
2022-08-26,S001,2637,5242,2369,51.86,20,52.4,East,Cloudy,Summer
2022-08-27,S001,2588,6207,2134,52.84,20,52.52,East,Sunny,Summer
2022-08-28,S001,2122,5051,2501,49.49,20,49.31,East,Snowy,Summer
2022-08-29,S001,2753,5946,2281,51.26,20,51.35,East,Rainy,Summer
2022-08-30,S001,2708,4881,1896,50.28,20,50.51,East,Sunny,Summer
2022-08-31,S001,2339,5070,2757,56.12,20,55.94,East,Snowy,Summer
2022-09-01,S001,3392,5836,1984,65.0,20,65.47,East,Sunny,Summer
2022-09-02,S001,2826,5736,1641,43.89,20,44.0,East,Sunny,Summer
2022-09-03,S001,2773,5587,2329,53.03,20,52.39,East,Sunny,Summer
2022-09-04,S001,3370,5853,2179,59.55,20,59.85,East,Rainy,Summer
2022-09-05,S001,2553,6272,2128,61.84,20,61.06,East,Rainy,Summer
2022-09-06,S001,2977,6084,2458,63.38,20,64.61,East,Snowy,Summer
2022-09-07,S001,2380,4459,1946,45.39,20,44.67,East,Sunny,Summer
2022-09-08,S001,3256,6102,2248,56.45,20,55.3,East,Cloudy,Summer
2022-09-09,S001,2706,5532,2028,66.63,20,66.16,East,Cloudy,Summer
2022-09-10,S001,3323,5855,2303,50.41,20,50.52,East,Cloudy,Summer
2022-09-11,S001,2014,5904,1846,59.47,20,59.02,East,Rainy,Summer
2022-09-12,S001,3719,6016,2358,65.87,20,65.84,East,Snowy,Summer
2022-09-13,S001,3094,5878,2530,56.46,20,56.16,East,Cloudy,Summer
2022-09-14,S001,2653,4811,2179,54.89,20,54.98,East,Sunny,Summer
2022-09-15,S001,2241,4419,2383,53.93,20,54.22,East,Sunny,Summer
2022-09-16,S001,2601,5166,2202,61.36,20,61.09,East,Cloudy,Summer
2022-09-17,S001,2807,5757,2234,56.34,20,56.3,East,Snowy,Summer
2022-09-18,S001,2652,5715,2231,54.54,20,55.41,East,Cloudy,Summer
2022-09-19,S001,2971,5374,2040,68.5,20,68.11,East,Cloudy,Summer
2022-09-20,S001,2440,6041,2089,50.65,20,50.55,East,Snowy,Summer
2022-09-21,S001,2402,5654,2627,52.67,20,52.24,East,Rainy,Autumn
2022-09-22,S001,3285,6207,2174,61.97,20,61.84,East,Sunny,Autumn
2022-09-23,S001,2713,5553,1749,63.99,20,63.03,East,Snowy,Autumn
2022-09-24,S001,2941,5783,1880,53.07,20,53.08,East,Sunny,Autumn
2022-09-25,S001,3254,6171,2013,55.44,20,55.22,East,Snowy,Autumn
2022-09-26,S001,3028,5537,2179,43.76,20,44.57,East,Cloudy,Autumn
2022-09-27,S001,1995,5352,2274,62.58,15,62.61,East,Cloudy,Autumn
2022-09-28,S001,3149,5631,2413,52.97,20,52.44,East,Cloudy,Autumn
2022-09-29,S001,2979,5760,2329,47.32,20,47.02,East,Rainy,Autumn
2022-09-30,S001,2247,6592,1906,57.19,20,56.81,East,Cloudy,Autumn
2022-10-01,S001,3152,5389,2040,55.87,20,56.52,East,Snowy,Autumn
2022-10-02,S001,2555,5800,2163,48.44,20,48.64,East,Rainy,Autumn
2022-10-03,S001,2659,5241,2419,58.7,20,58.45,East,Rainy,Autumn
2022-10-04,S001,2657,5211,2824,62.1,20,61.55,East,Sunny,Autumn
2022-10-05,S001,2096,4306,1984,54.04,20,53.75,East,Sunny,Autumn
2022-10-06,S001,1955,5360,2304,54.54,20,54.36,East,Rainy,Autumn
2022-10-07,S001,2986,6085,1961,65.51,20,65.14,East,Sunny,Autumn
2022-10-08,S001,3401,5340,2148,46.36,20,45.29,East,Cloudy,Autumn
2022-10-09,S001,3051,5420,2118,58.3,20,58.19,East,Sunny,Autumn
2022-10-10,S001,2220,4753,2156,53.7,20,53.55,East,Rainy,Autumn
2022-10-11,S001,2427,5049,2180,61.94,20,62.36,East,Cloudy,Autumn
2022-10-12,S001,3247,5731,1995,56.86,20,57.71,East,Cloudy,Autumn
2022-10-13,S001,2917,5966,2288,58.93,20,58.42,East,Sunny,Autumn
2022-10-14,S001,2504,5653,2532,60.12,20,60.88,East,Sunny,Autumn
2022-10-15,S001,3270,5658,2214,58.95,20,59.42,East,Sunny,Autumn
2022-10-16,S001,2787,6160,2637,61.53,20,60.39,East,Snowy,Autumn
2022-10-17,S001,3257,5295,2204,50.13,20,49.76,East,Snowy,Autumn
2022-10-18,S001,2945,6173,2194,51.18,20,51.18,East,Cloudy,Autumn
2022-10-19,S001,3018,5724,2309,58.91,20,58.42,East,Rainy,Autumn
2022-10-20,S001,3316,6107,1977,54.13,20,53.38,East,Rainy,Autumn
2022-10-21,S001,2393,4720,1593,52.8,20,53.32,East,Snowy,Autumn
2022-10-22,S001,2644,5221,2353,50.11,20,50.53,East,Cloudy,Autumn
2022-10-23,S001,2939,4697,1903,58.88,20,58.59,East,Cloudy,Autumn
2022-10-24,S001,3588,5529,2179,55.17,20,55.06,East,Rainy,Autumn
2022-10-25,S001,3226,5250,2580,57.31,20,56.9,East,Cloudy,Autumn
2022-10-26,S001,2001,5729,2338,47.87,20,47.05,East,Snowy,Autumn
2022-10-27,S001,3288,5582,2236,53.95,20,53.58,East,Snowy,Autumn
2022-10-28,S001,3271,5920,2238,54.19,20,54.32,East,Snowy,Autumn
2022-10-29,S001,3168,5551,1685,51.47,20,52.09,East,Rainy,Autumn
2022-10-30,S001,2512,5614,2073,53.6,20,53.69,East,Rainy,Autumn
2022-10-31,S001,2743,5430,2132,46.97,20,46.61,East,Sunny,Autumn
2022-11-01,S001,3403,5991,2229,55.65,20,54.57,East,Cloudy,Autumn
2022-11-02,S001,3287,5830,1892,44.37,20,43.72,East,Snowy,Autumn
2022-11-03,S001,2410,5126,2284,56.21,20,55.93,East,Sunny,Autumn
2022-11-04,S001,3267,5969,2531,63.1,20,62.56,East,Rainy,Autumn
2022-11-05,S001,2848,4945,1983,52.53,20,51.88,East,Snowy,Autumn
2022-11-06,S001,3240,5638,2026,63.46,20,63.38,East,Rainy,Autumn
2022-11-07,S001,2860,6076,2653,63.79,20,64.06,East,Sunny,Autumn
2022-11-08,S001,2315,5495,1974,56.93,20,57.46,East,Rainy,Autumn
2022-11-09,S001,2965,5325,2127,55.34,20,55.53,East,Cloudy,Autumn
2022-11-10,S001,2373,5033,2381,52.85,20,52.98,East,Sunny,Autumn
2022-11-11,S001,2764,5788,2331,51.34,20,50.83,East,Cloudy,Autumn
2022-11-12,S001,3346,6198,1730,51.73,20,51.98,East,Snowy,Autumn
2022-11-13,S001,2687,5790,2552,49.19,20,49.08,East,Rainy,Autumn
2022-11-14,S001,2668,6027,2382,61.58,20,61.43,East,Sunny,Autumn
2022-11-15,S001,2348,4860,1688,55.81,20,55.47,East,Rainy,Autumn
2022-11-16,S001,2316,5823,2303,65.59,20,65.09,East,Sunny,Autumn
2022-11-17,S001,3301,5112,2410,60.14,20,60.15,East,Snowy,Autumn
2022-11-18,S001,2284,4972,2262,50.82,20,50.63,East,Rainy,Autumn
2022-11-19,S001,2580,5530,2146,51.82,20,52.26,East,Snowy,Autumn
2022-11-20,S001,2521,4950,2212,55.33,20,54.77,East,Rainy,Autumn
2022-11-21,S001,3609,5585,2072,46.86,20,47.12,East,Cloudy,Autumn
2022-11-22,S001,2765,5386,2452,51.55,20,51.64,East,Sunny,Autumn
2022-11-23,S001,2762,5906,2207,53.73,20,53.02,East,Rainy,Autumn
2022-11-24,S001,2900,5387,2387,63.14,20,63.32,East,Cloudy,Autumn
2022-11-25,S001,3084,5568,2071,56.92,20,56.92,East,Rainy,Autumn
2022-11-26,S001,2477,4856,2601,50.88,20,50.59,East,Rainy,Autumn
2022-11-27,S001,3362,6034,2257,53.99,20,53.55,East,Rainy,Autumn
2022-11-28,S001,2656,5335,2726,54.64,20,54.88,East,Snowy,Autumn
2022-11-29,S001,3154,5552,2129,52.35,20,53.15,East,Cloudy,Autumn
2022-11-30,S001,3567,6093,2148,52.17,20,52.63,East,Cloudy,Autumn
2022-12-01,S001,2698,5392,2600,56.51,20,56.15,East,Rainy,Autumn
2022-12-02,S001,2592,5218,2054,44.52,20,44.02,East,Snowy,Autumn
2022-12-03,S001,3088,5713,2274,49.12,20,49.76,East,Cloudy,Autumn
2022-12-04,S001,2753,5303,2071,51.19,20,52.64,East,Sunny,Autumn
2022-12-05,S001,2812,5515,2386,57.32,20,58.22,East,Cloudy,Autumn
2022-12-06,S001,3404,5659,2435,56.4,20,56.64,East,Cloudy,Autumn
2022-12-07,S001,3197,5821,1796,55.43,20,55.33,East,Cloudy,Autumn
2022-12-08,S001,1999,4779,2327,51.53,20,52.64,East,Rainy,Autumn
