Date,Category,Units Sold,Inventory Level,Units Ordered,Price,Discount,Seasonality
2022-05-31,Groceries,3841,7389,3125,52.41,20,Spring
2022-06-01,Groceries,4337,8831,3009,59.6,20,Spring
2022-06-02,Groceries,4196,8107,3711,50.62,20,Spring
2022-06-03,Groceries,3462,7457,3366,60.39,20,Spring
2022-06-04,Groceries,4133,8902,3363,58.35,20,Spring
2022-06-05,Groceries,3672,8122,3564,52.15,20,Spring
2022-06-06,Groceries,3658,8152,3240,55.28,20,Spring
2022-06-07,Groceries,3874,8506,2913,51.1,20,Spring
2022-06-08,Groceries,4874,9114,3600,57.98,20,Spring
2022-06-09,Groceries,3880,9145,2841,53.13,20,Spring
2022-06-10,Groceries,4973,9615,3267,60.98,20,Spring
2022-06-11,Groceries,3513,8615,3279,57.46,20,Spring
2022-06-12,Groceries,4089,7595,3141,50.52,20,Spring
2022-06-13,Groceries,3511,7431,3809,56.09,20,Spring
2022-06-14,Groceries,4051,8954,3472,54.56,20,Spring
2022-06-15,Groceries,4415,8107,3593,59.87,20,Spring
2022-06-16,Groceries,4175,7632,3438,56.12,20,Spring
2022-06-17,Groceries,4205,8165,3502,62.11,20,Spring
2022-06-18,Groceries,4351,8742,3902,50.9,20,Spring
2022-06-19,Groceries,4033,7939,3374,53.32,20,Spring
2022-06-20,Groceries,4042,7534,3007,56.41,20,Spring
2022-06-21,Groceries,5622,9222,3240,60.51,20,Summer
2022-06-22,Groceries,5001,9291,3181,55.51,20,Summer
2022-06-23,Groceries,4820,8885,3579,58.39,20,Summer
2022-06-24,Groceries,3934,8638,3162,59.28,20,Summer
2022-06-25,Groceries,4193,7071,3156,50.99,20,Summer
2022-06-26,Groceries,3874,8336,3345,50.91,20,Summer
2022-06-27,Groceries,3672,7944,3170,58.98,20,Summer
2022-06-28,Groceries,4974,8580,3113,55.5,20,Summer
2022-06-29,Groceries,3980,7578,3621,56.94,20,Summer
2022-06-30,Groceries,4147,7678,3555,56.36,20,Summer
2022-07-01,Groceries,4536,8456,3493,53.89,20,Summer
2022-07-02,Groceries,3630,7989,3137,59.5,20,Summer
2022-07-03,Groceries,4159,8493,3046,55.77,20,Summer
2022-07-04,Groceries,3921,8365,3300,53.69,20,Summer
2022-07-05,Groceries,3549,7443,3029,47.29,20,Summer
2022-07-06,Groceries,3527,6935,3187,46.58,20,Summer
2022-07-07,Groceries,4605,8375,3847,57.49,20,Summer
2022-07-08,Groceries,4150,8145,3457,52.16,20,Summer
2022-07-09,Groceries,4559,8420,3251,56.08,20,Summer
2022-07-10,Groceries,3199,7258,2869,51.47,20,Summer
2022-07-11,Groceries,4470,8742,3585,51.82,20,Summer
2022-07-12,Groceries,4129,8562,3279,58.47,20,Summer
2022-07-13,Groceries,4678,7490,3484,61.02,20,Summer
2022-07-14,Groceries,4075,8026,3503,60.4,20,Summer
2022-07-15,Groceries,4414,8501,3196,58.27,20,Summer
2022-07-16,Groceries,5181,9488,3219,53.91,20,Summer
2022-07-17,Groceries,4782,9105,3516,53.76,20,Summer
2022-07-18,Groceries,5260,9004,3033,51.02,20,Summer
2022-07-19,Groceries,4347,7787,3034,57.37,20,Summer
2022-07-20,Groceries,4207,8348,3033,52.56,20,Summer
2022-07-21,Groceries,4123,8500,3458,42.26,20,Summer
2022-07-22,Groceries,4053,8779,3081,56.93,20,Summer
2022-07-23,Groceries,4526,9035,3096,47.33,20,Summer
2022-07-24,Groceries,4697,8525,2950,51.23,20,Summer
2022-07-25,Groceries,4142,8830,3473,62.44,20,Summer
2022-07-26,Groceries,3831,9117,3770,46.72,20,Summer
2022-07-27,Groceries,4529,9123,3869,54.51,20,Summer
2022-07-28,Groceries,3957,7514,3334,58.63,20,Summer
2022-07-29,Groceries,4897,8182,3310,51.6,20,Summer
2022-07-30,Groceries,3458,8387,2928,52.93,20,Summer
2022-07-31,Groceries,4087,7293,3086,50.34,20,Summer
2022-08-01,Groceries,4736,7621,3467,49.51,20,Summer
2022-08-02,Groceries,4301,8481,3546,55.58,20,Summer
2022-08-03,Groceries,4594,8918,3900,54.02,20,Summer
2022-08-04,Groceries,4481,9024,3336,52.24,20,Summer
2022-08-05,Groceries,3976,9401,2792,54.9,20,Summer
2022-08-06,Groceries,4634,8343,2927,61.32,20,Summer
2022-08-07,Groceries,4510,7400,3034,57.4,20,Summer
2022-08-08,Groceries,3897,7863,3301,52.56,20,Summer
2022-08-09,Groceries,3697,7613,3371,66.65,20,Summer
2022-08-10,Groceries,4294,8665,3471,54.09,20,Summer
2022-08-11,Groceries,3697,8271,3360,63.99,20,Summer
2022-08-12,Groceries,4629,9597,3061,59.74,20,Summer
2022-08-13,Groceries,3885,8353,3188,47.96,20,Summer
2022-08-14,Groceries,4647,9040,2927,65.71,20,Summer
2022-08-15,Groceries,4389,7651,3277,60.57,20,Summer
2022-08-16,Groceries,4458,8126,3194,53.4,20,Summer
2022-08-17,Groceries,4459,8547,3345,46.01,20,Summer
2022-08-18,Groceries,3920,7644,3865,52.56,20,Summer
2022-08-19,Groceries,3983,8701,3016,51.48,20,Summer
2022-08-20,Groceries,3584,7846,3052,62.5,20,Summer
2022-08-21,Groceries,2962,7227,3293,55.89,20,Summer
2022-08-22,Groceries,4118,7934,3443,56.23,20,Summer
2022-08-23,Groceries,4053,7633,3363,61.9,20,Summer
2022-08-24,Groceries,4142,7749,3427,63.07,20,Summer
2022-08-25,Groceries,4301,7516,3154,46.89,20,Summer
2022-08-26,Groceries,4468,8901,3830,52.31,20,Summer
2022-08-27,Groceries,4797,8991,3453,52.14,20,Summer
2022-08-28,Groceries,5314,7857,3050,48.35,20,Summer
2022-08-29,Groceries,3597,8384,3389,56.55,20,Summer
2022-08-30,Groceries,3247,8022,3422,55.12,20,Summer
2022-08-31,Groceries,4202,8186,3748,54.5,20,Summer
2022-09-01,Groceries,4637,7718,3316,60.71,20,Summer
2022-09-02,Groceries,4927,8842,3253,48.31,20,Summer
2022-09-03,Groceries,3926,8075,3347,59.94,20,Summer
2022-09-04,Groceries,4431,8598,3573,54.29,20,Summer
2022-09-05,Groceries,4456,9240,3025,55.84,20,Summer
2022-09-06,Groceries,4702,8706,3672,59.93,20,Summer
2022-09-07,Groceries,3570,7398,2928,51.06,20,Summer
2022-09-08,Groceries,4272,8567,3007,48.97,20,Summer
2022-09-09,Groceries,4015,7338,3192,54.48,20,Summer
2022-09-10,Groceries,4550,9146,3583,52.98,20,Summer
2022-09-11,Groceries,4017,7593,3851,58.12,20,Summer
2022-09-12,Groceries,4958,9910,3411,55.06,20,Summer
2022-09-13,Groceries,4408,7870,3817,59.57,20,Summer
2022-09-14,Groceries,5112,8662,3343,61.5,20,Summer
2022-09-15,Groceries,5485,9153,3362,51.98,20,Summer
2022-09-16,Groceries,3427,7103,3525,54.95,20,Summer
2022-09-17,Groceries,4912,10008,3285,55.18,20,Summer
2022-09-18,Groceries,3899,8339,3139,56.15,20,Summer
2022-09-19,Groceries,4441,7934,3074,53.31,20,Summer
2022-09-20,Groceries,3427,9223,3114,60.96,20,Summer
2022-09-21,Groceries,3828,8836,3625,56.76,20,Autumn
2022-09-22,Groceries,3837,7796,3006,55.29,20,Autumn
2022-09-23,Groceries,4197,7766,3505,57.92,20,Autumn
2022-09-24,Groceries,4762,8454,2806,58.23,20,Autumn
2022-09-25,Groceries,4340,8657,3580,56.74,20,Autumn
2022-09-26,Groceries,3575,8504,3278,47.93,20,Autumn
2022-09-27,Groceries,5233,9124,3694,56.21,20,Autumn
2022-09-28,Groceries,5146,8242,3108,61.9,20,Autumn
2022-09-29,Groceries,3372,8149,2971,55.54,20,Autumn
2022-09-30,Groceries,4044,8784,3413,54.48,20,Autumn
2022-10-01,Groceries,4654,7545,2780,59.38,20,Autumn
2022-10-02,Groceries,4422,7822,2780,55.36,20,Autumn
2022-10-03,Groceries,3299,8409,3930,59.34,20,Autumn
2022-10-04,Groceries,3646,7943,3729,59.66,20,Autumn
2022-10-05,Groceries,3667,7705,3463,52.93,20,Autumn
2022-10-06,Groceries,4129,9289,3183,62.19,20,Autumn
2022-10-07,Groceries,5410,8536,3355,54.17,20,Autumn
2022-10-08,Groceries,3727,8537,3296,53.7,20,Autumn
2022-10-09,Groceries,3676,6970,3799,51.6,20,Autumn
2022-10-10,Groceries,3903,8723,2906,51.44,20,Autumn
2022-10-11,Groceries,3691,7327,3045,62.57,20,Autumn
2022-10-12,Groceries,4173,9036,3095,55.31,20,Autumn
2022-10-13,Groceries,4686,8409,3188,64.08,20,Autumn
2022-10-14,Groceries,4021,7919,3566,45.34,20,Autumn
2022-10-15,Groceries,4697,7133,3213,58.9,20,Autumn
2022-10-16,Groceries,3955,8718,3175,54.41,20,Autumn
2022-10-17,Groceries,4225,8498,3209,59.15,20,Autumn
2022-10-18,Groceries,4071,8674,3541,56.85,20,Autumn
2022-10-19,Groceries,3366,7062,2973,58.02,20,Autumn
2022-10-20,Groceries,4883,9228,3236,50.68,20,Autumn
2022-10-21,Groceries,4028,8224,3372,63.74,20,Autumn
2022-10-22,Groceries,2749,7227,3247,44.16,20,Autumn
2022-10-23,Groceries,4037,7498,3150,55.49,20,Autumn
2022-10-24,Groceries,4371,8222,3137,44.87,20,Autumn
2022-10-25,Groceries,4672,9017,3259,53.53,20,Autumn
2022-10-26,Groceries,5093,9587,3753,49.66,20,Autumn
2022-10-27,Groceries,3671,7442,3233,54.53,20,Autumn
2022-10-28,Groceries,3961,7700,2934,53.85,20,Autumn
2022-10-29,Groceries,4524,8015,3208,58.67,20,Autumn
2022-10-30,Groceries,4395,8590,2951,61.27,20,Autumn
2022-10-31,Groceries,4573,7701,3666,53.71,20,Autumn
2022-11-01,Groceries,4653,9001,3389,49.91,20,Autumn
2022-11-02,Groceries,3554,8154,2897,53.7,20,Autumn
2022-11-03,Groceries,4084,8249,3397,55.47,20,Autumn
2022-11-04,Groceries,4205,9011,3217,51.97,20,Autumn
2022-11-05,Groceries,4659,9232,3466,63.31,20,Autumn
2022-11-06,Groceries,4454,8348,3769,60.48,20,Autumn
2022-11-07,Groceries,4415,8544,3485,61.1,20,Autumn
2022-11-08,Groceries,4078,8372,3294,53.51,20,Autumn
2022-11-09,Groceries,4321,9292,2738,55.97,20,Autumn
2022-11-10,Groceries,3889,9263,2894,53.33,20,Autumn
2022-11-11,Groceries,3605,7610,3423,64.13,20,Autumn
2022-11-12,Groceries,3887,9792,3266,53.99,20,Autumn
2022-11-13,Groceries,3514,9128,3736,53.21,20,Autumn
2022-11-14,Groceries,3393,7839,3138,54.81,20,Autumn
2022-11-15,Groceries,4005,7477,2778,60.79,20,Autumn
2022-11-16,Groceries,3747,8227,3154,63.01,20,Autumn
2022-11-17,Groceries,4976,8646,3099,63.46,20,Autumn
2022-11-18,Groceries,3984,8734,3808,58.97,20,Autumn
2022-11-19,Groceries,3513,7949,3110,53.9,20,Autumn
2022-11-20,Groceries,5190,9388,3355,50.82,20,Autumn
2022-11-21,Groceries,4406,7713,2973,58.02,20,Autumn
2022-11-22,Groceries,3930,8602,3404,56.27,20,Autumn
2022-11-23,Groceries,4719,8985,3531,52.55,20,Autumn
2022-11-24,Groceries,4612,8853,3473,58.91,20,Autumn
2022-11-25,Groceries,4842,8087,3607,50.86,20,Autumn
2022-11-26,Groceries,4346,8918,3344,46.07,20,Autumn
2022-11-27,Groceries,4619,7310,3203,52.11,20,Autumn
2022-11-28,Groceries,4302,9120,3740,55.68,20,Autumn
2022-11-29,Groceries,3906,6419,3278,53.61,20,Autumn
2022-11-30,Groceries,4130,7895,3156,56.54,20,Autumn
2022-12-01,Groceries,4270,7750,3156,58.85,20,Autumn
2022-12-02,Groceries,4425,7818,3583,59.44,20,Autumn
2022-12-03,Groceries,4505,9374,3141,56.71,20,Autumn
2022-12-04,Groceries,3983,8229,3225,47.86,20,Autumn
2022-12-05,Groceries,4798,7726,3387,55.38,20,Autumn
2022-12-06,Groceries,4583,9341,3578,52.56,20,Autumn
2022-12-07,Groceries,5208,8546,2989,49.18,20,Autumn
2022-12-08,Groceries,3545,8087,3172,59.7,20,Autumn
2022-12-09,Groceries,3607,7219,3112,50.43,20,Autumn
2022-12-10,Groceries,3857,7955,3313,49.32,20,Autumn
2022-12-11,Groceries,4707,9793,3460,60.91,20,Autumn
2022-12-12,Groceries,3791,9137,3506,51.57,20,Autumn
2022-12-13,Groceries,4337,7943,3375,50.71,20,Autumn
2022-12-14,Groceries,4654,8046,3293,58.4,20,Autumn
2022-12-15,Groceries,4837,8674,3727,56.5,20,Autumn
2022-12-16,Groceries,5479,9339,3257,65.58,20,Autumn
2022-12-17,Groceries,2874,7137,3331,53.17,20,Autumn
2022-12-18,Groceries,4516,8473,3274,52.87,20,Autumn
2022-12-19,Groceries,3766,8591,2689,55.4,20,Autumn
2022-12-20,Groceries,3620,7088,3299,53.38,20,Autumn
2022-12-21,Groceries,4300,7221,2843,56.27,20,Winter
2022-12-22,Groceries,3752,8214,3341,56.68,20,Winter
2022-12-23,Groceries,4087,7667,3907,54.7,20,Winter
2022-12-24,Groceries,3239,7095,3476,54.21,20,Winter
2022-12-25,Groceries,3699,7323,3246,45.87,20,Winter
2022-12-26,Groceries,4096,7563,3067,51.83,20,Winter
2022-12-27,Groceries,3890,8173,3163,48.34,20,Winter
2022-12-28,Groceries,4079,9129,3262,55.47,20,Winter
2022-12-29,Groceries,3507,8329,3228,59.72,20,Winter
2022-12-30,Groceries,4331,8916,3291,55.15,20,Winter
2022-12-31,Groceries,3941,7643,3502,60.28,20,Winter
2023-01-01,Groceries,5173,9278,3080,46.12,20,Winter
2023-01-02,Groceries,3797,8110,3165,57.27,20,Winter
2023-01-03,Groceries,3990,7736,3510,47.91,20,Winter
2023-01-04,Groceries,3261,7024,3055,48.15,20,Winter
2023-01-05,Groceries,4107,7785,3442,58.38,20,Winter
2023-01-06,Groceries,4065,8266,2741,62.71,20,Winter
2023-01-07,Groceries,3433,8239,3339,54.32,20,Winter
2023-01-08,Groceries,3434,7375,3777,61.93,20,Winter
2023-01-09,Groceries,2703,6631,3439,50.66,20,Winter
2023-01-10,Groceries,3842,8323,3480,53.48,20,Winter
2023-01-11,Groceries,4350,8224,3201,51.4,20,Winter
2023-01-12,Groceries,3491,7758,3778,56.96,20,Winter
2023-01-13,Groceries,4249,8213,2846,51.89,20,Winter
2023-01-14,Groceries,4492,8562,3359,50.61,20,Winter
2023-01-15,Groceries,4743,8262,3182,50.77,20,Winter
2023-01-16,Groceries,4235,8101,3637,53.43,20,Winter
2023-01-17,Groceries,4462,8175,3191,48.36,20,Winter
2023-01-18,Groceries,4356,8255,3623,54.55,20,Winter
2023-01-19,Groceries,4604,9599,3397,52.93,20,Winter
2023-01-20,Groceries,4254,7531,3211,62.55,20,Winter
2023-01-21,Groceries,3847,8949,3577,61.05,20,Winter
2023-01-22,Groceries,3622,7163,3143,54.11,20,Winter
2023-01-23,Groceries,4531,9168,3300,57.9,20,Winter
2023-01-24,Groceries,3814,9063,2310,60.6,20,Winter
2023-01-25,Groceries,4869,9499,3123,57.28,20,Winter
2023-01-26,Groceries,4226,8294,3507,64.51,20,Winter
2023-01-27,Groceries,5502,9396,3237,56.67,20,Winter
2023-01-28,Groceries,4038,7937,3473,63.46,20,Winter
2023-01-29,Groceries,2993,8694,3517,55.83,20,Winter
2023-01-30,Groceries,2946,8130,3455,53.11,20,Winter
2023-01-31,Groceries,4465,8094,3239,56.75,20,Winter
2023-02-01,Groceries,3222,8338,3270,50.41,20,Winter
2023-02-02,Groceries,4932,8963,3336,48.58,20,Winter
2023-02-03,Groceries,3771,7270,3731,60.65,20,Winter
2023-02-04,Groceries,3404,7636,3312,55.6,20,Winter
2023-02-05,Groceries,3512,7634,3214,57.88,20,Winter
2023-02-06,Groceries,4473,9254,3688,49.37,20,Winter
2023-02-07,Groceries,4025,7923,3578,59.19,20,Winter
2023-02-08,Groceries,4268,9259,3028,57.95,20,Winter
2023-02-09,Groceries,4051,8240,2564,66.06,20,Winter
2023-02-10,Groceries,3892,9446,3322,62.6,20,Winter
2023-02-11,Groceries,4705,8777,3555,55.96,20,Winter
2023-02-12,Groceries,4090,8641,3348,54.89,20,Winter
2023-02-13,Groceries,4484,7768,3324,56.02,20,Winter
2023-02-14,Groceries,4091,8957,3352,54.21,20,Winter
2023-02-15,Groceries,2898,7425,3840,56.08,20,Winter
2023-02-16,Groceries,3613,8320,3131,55.86,20,Winter
2023-02-17,Groceries,3865,8021,3215,51.85,20,Winter
2023-02-18,Groceries,5112,8739,2720,49.46,20,Winter
2023-02-19,Groceries,5461,9760,3143,61.16,20,Winter
2023-02-20,Groceries,3319,6705,3296,56.78,20,Winter
2023-02-21,Groceries,3871,8538,3761,58.5,20,Winter
2023-02-22,Groceries,3771,7705,3427,57.3,20,Winter
2023-02-23,Groceries,4948,9222,3133,61.62,20,Winter
2023-02-24,Groceries,4013,8023,3756,50.84,20,Winter
2023-02-25,Groceries,3744,7876,3211,58.03,20,Winter
2023-02-26,Groceries,3877,8287,3165,57.08,20,Winter
2023-02-27,Groceries,4153,7926,3235,52.33,20,Winter
2023-02-28,Groceries,5132,8361,3187,52.15,20,Winter
2023-03-01,Groceries,3026,8823,3614,58.0,20,Winter
2023-03-02,Groceries,3987,9286,3405,54.99,20,Winter
2023-03-03,Groceries,3975,7556,3189,50.5,20,Winter
2023-03-04,Groceries,5042,8462,3284,63.97,20,Winter
2023-03-05,Groceries,3491,9047,3309,52.49,20,Winter
2023-03-06,Groceries,3508,6704,2902,61.37,20,Winter
2023-03-07,Groceries,3497,7787,2955,64.71,20,Winter
2023-03-08,Groceries,3646,7265,3452,45.64,20,Winter
2023-03-09,Groceries,4674,8677,3396,54.59,20,Winter
2023-03-10,Groceries,4063,8246,3483,61.1,20,Winter
2023-03-11,Groceries,3527,7482,3733,56.74,20,Winter
2023-03-12,Groceries,4737,8676,2795,61.23,20,Winter
2023-03-13,Groceries,4294,8805,3995,52.36,20,Winter
2023-03-14,Groceries,4325,8260,3745,46.73,20,Winter
2023-03-15,Groceries,3962,8034,3221,68.19,20,Winter
2023-03-16,Groceries,4629,8318,3683,50.93,20,Winter
2023-03-17,Groceries,3810,8289,3288,43.96,20,Winter
2023-03-18,Groceries,3852,8033,3564,63.53,20,Winter
2023-03-19,Groceries,4857,8694,3055,58.58,20,Winter
2023-03-20,Groceries,3857,7958,3310,50.51,20,Winter
2023-03-21,Groceries,4292,9075,3898,49.09,20,Spring
2023-03-22,Groceries,4370,9544,2987,60.73,20,Spring
