Date,Product ID,Category,Units Sold,Inventory Level,Units Ordered,Price,Discount,Seasonality
2022-02-18,P0001,Groceries,798,1147,428,28.97,20,Winter
2022-02-19,P0001,Groceries,738,1355,614,70.02,20,Winter
2022-02-20,P0001,Groceries,320,890,480,67.42,20,Winter
2022-02-21,P0001,Groceries,849,1215,688,59.61,10,Winter
2022-02-22,P0001,Groceries,626,1442,511,42.01,20,Winter
2022-02-23,P0001,Groceries,524,1117,616,44.76,15,Winter
2022-02-24,P0001,Groceries,464,1399,359,66.6,15,Winter
2022-02-25,P0001,Groceries,791,1918,455,37.21,20,Winter
2022-02-26,P0001,Groceries,403,1276,400,55.43,20,Winter
2022-02-27,P0001,Groceries,568,1102,396,45.53,20,Winter
2022-02-28,P0001,Groceries,691,917,435,56.72,15,Winter
2022-03-01,P0001,Groceries,470,1332,447,52.58,20,Winter
2022-03-02,P0001,Groceries,667,988,549,47.18,20,Winter
2022-03-03,P0001,Groceries,525,1329,459,34.09,20,Winter
2022-03-04,P0001,Groceries,995,1697,425,37.11,20,Winter
2022-03-05,P0001,Groceries,1510,2093,773,48.09,20,Winter
2022-03-06,P0001,Groceries,642,1324,493,72.11,20,Winter
2022-03-07,P0001,Groceries,1041,1810,633,50.87,15,Winter
2022-03-08,P0001,Groceries,573,1543,421,45.72,20,Winter
2022-03-09,P0001,Groceries,460,1203,700,51.4,15,Winter
2022-03-10,P0001,Groceries,593,1245,445,45.57,20,Winter
2022-03-11,P0001,Groceries,711,1730,745,52.99,20,Winter
2022-03-12,P0001,Groceries,1035,1558,634,54.27,15,Winter
2022-03-13,P0001,Groceries,456,1327,590,58.41,20,Winter
2022-03-14,P0001,Groceries,544,947,644,39.16,20,Winter
2022-03-15,P0001,Groceries,484,1062,671,44.57,20,Winter
2022-03-16,P0001,Groceries,607,1263,670,28.66,20,Winter
2022-03-17,P0001,Groceries,598,919,357,45.29,20,Winter
2022-03-18,P0001,Groceries,452,1334,482,77.08,20,Winter
2022-03-19,P0001,Groceries,558,1056,525,46.92,20,Winter
2022-03-20,P0001,Groceries,266,574,313,52.04,15,Winter
2022-03-21,P0001,Groceries,243,958,650,42.38,20,Spring
2022-03-22,P0001,Groceries,661,1343,560,63.62,20,Spring
2022-03-23,P0001,Groceries,585,1264,495,53.55,15,Spring
2022-03-24,P0001,Groceries,655,1489,553,41.06,20,Spring
2022-03-25,P0001,Groceries,452,1966,516,70.31,20,Spring
2022-03-26,P0001,Groceries,694,1033,519,64.35,20,Spring
2022-03-27,P0001,Groceries,1362,2036,518,68.75,15,Spring
2022-03-28,P0001,Groceries,674,1522,409,36.68,20,Spring
2022-03-29,P0001,Groceries,695,982,462,58.27,15,Spring
2022-03-30,P0001,Groceries,490,1377,771,65.22,15,Spring
2022-03-31,P0001,Groceries,264,1611,584,53.83,20,Spring
2022-04-01,P0001,Groceries,589,1564,501,45.09,20,Spring
2022-04-02,P0001,Groceries,851,1384,409,54.83,20,Spring
2022-04-03,P0001,Groceries,249,1138,604,40.04,15,Spring
2022-04-04,P0001,Groceries,694,1262,844,87.62,20,Spring
2022-04-05,P0001,Groceries,605,1310,421,34.1,20,Spring
2022-04-06,P0001,Groceries,719,1113,630,42.47,20,Spring
2022-04-07,P0001,Groceries,510,1626,594,62.96,15,Spring
2022-04-08,P0001,Groceries,302,1205,577,62.31,15,Spring
2022-04-09,P0001,Groceries,711,1290,575,46.94,15,Spring
2022-04-10,P0001,Groceries,1037,1337,689,68.68,15,Spring
2022-04-11,P0001,Groceries,795,1339,650,47.47,20,Spring
2022-04-12,P0001,Groceries,773,1255,512,41.03,15,Spring
2022-04-13,P0001,Groceries,757,1212,415,59.81,20,Spring
2022-04-14,P0001,Groceries,746,1183,594,59.11,20,Spring
2022-04-15,P0001,Groceries,850,1631,619,52.95,15,Spring
2022-04-16,P0001,Groceries,746,1549,632,83.22,20,Spring
2022-04-17,P0001,Groceries,967,1508,607,53.96,10,Spring
2022-04-18,P0001,Groceries,741,1456,743,44.47,20,Spring
2022-04-19,P0001,Groceries,500,1333,722,57.38,20,Spring
2022-04-20,P0001,Groceries,285,1002,868,48.95,20,Spring
2022-04-21,P0001,Groceries,383,1043,603,66.21,20,Spring
2022-04-22,P0001,Groceries,725,1555,540,67.96,20,Spring
2022-04-23,P0001,Groceries,513,1264,698,71.46,20,Spring
2022-04-24,P0001,Groceries,214,1094,337,42.76,15,Spring
2022-04-25,P0001,Groceries,608,1164,496,65.66,20,Spring
2022-04-26,P0001,Groceries,1062,1868,464,57.16,15,Spring
2022-04-27,P0001,Groceries,444,1226,560,41.71,15,Spring
2022-04-28,P0001,Groceries,1483,1688,670,34.87,15,Spring
2022-04-29,P0001,Groceries,444,1288,686,51.7,15,Spring
2022-04-30,P0001,Groceries,622,877,334,57.94,20,Spring
2022-05-01,P0001,Groceries,154,841,623,42.3,10,Spring
2022-05-02,P0001,Groceries,355,1391,457,55.41,20,Spring
2022-05-03,P0001,Groceries,693,1316,318,30.26,20,Spring
2022-05-04,P0001,Groceries,258,1202,524,34.62,20,Spring
2022-05-05,P0001,Groceries,735,1634,373,46.73,20,Spring
2022-05-06,P0001,Groceries,565,1612,418,79.36,20,Spring
2022-05-07,P0001,Groceries,520,1489,643,53.68,20,Spring
2022-05-08,P0001,Groceries,480,1013,507,70.75,10,Spring
2022-05-09,P0001,Groceries,409,1451,511,56.6,20,Spring
2022-05-10,P0001,Groceries,514,1119,487,72.21,15,Spring
2022-05-11,P0001,Groceries,403,1293,704,42.34,20,Spring
2022-05-12,P0001,Groceries,173,1198,397,52.98,20,Spring
2022-05-13,P0001,Groceries,1027,1405,535,43.82,20,Spring
2022-05-14,P0001,Groceries,832,1522,605,54.13,20,Spring
2022-05-15,P0001,Groceries,823,1727,514,54.89,10,Spring
2022-05-16,P0001,Groceries,763,1255,450,43.5,15,Spring
2022-05-17,P0001,Groceries,788,1280,781,57.77,15,Spring
2022-05-18,P0001,Groceries,802,1508,384,61.98,20,Spring
2022-05-19,P0001,Groceries,700,1233,411,51.47,10,Spring
2022-05-20,P0001,Groceries,641,1590,351,44.03,20,Spring
2022-05-21,P0001,Groceries,1474,2077,567,48.62,10,Spring
2022-05-22,P0001,Groceries,844,1291,516,75.7,20,Spring
2022-05-23,P0001,Groceries,565,1055,343,57.72,20,Spring
2022-05-24,P0001,Groceries,644,1732,527,62.78,20,Spring
2022-05-25,P0001,Groceries,592,1149,571,45.49,20,Spring
2022-05-26,P0001,Groceries,916,1235,718,47.83,20,Spring
2022-05-27,P0001,Groceries,304,827,515,44.56,20,Spring
2022-05-28,P0001,Groceries,725,1733,688,57.23,20,Spring
2022-05-29,P0001,Groceries,829,1803,596,70.41,10,Spring
2022-05-30,P0001,Groceries,632,1257,465,46.18,20,Spring
2022-05-31,P0001,Groceries,603,860,895,48.31,20,Spring
2022-06-01,P0001,Groceries,910,1675,713,54.43,15,Spring
2022-06-02,P0001,Groceries,1010,1364,755,67.65,20,Spring
2022-06-03,P0001,Groceries,354,1368,608,53.11,20,Spring
2022-06-04,P0001,Groceries,705,1405,502,62.76,20,Spring
2022-06-05,P0001,Groceries,631,1102,589,55.97,20,Spring
2022-06-06,P0001,Groceries,503,1296,538,78.39,15,Spring
2022-06-07,P0001,Groceries,734,1421,431,70.95,20,Spring
2022-06-08,P0001,Groceries,1134,1570,550,70.28,20,Spring
2022-06-09,P0001,Groceries,647,1276,465,69.18,20,Spring
2022-06-10,P0001,Groceries,737,1669,752,56.98,20,Spring
2022-06-11,P0001,Groceries,929,1962,406,49.35,10,Spring
2022-06-12,P0001,Groceries,987,1404,634,53.96,15,Spring
2022-06-13,P0001,Groceries,964,1152,719,70.4,20,Spring
2022-06-14,P0001,Groceries,501,1222,731,44.87,15,Spring
2022-06-15,P0001,Groceries,535,1059,540,67.15,20,Spring
2022-06-16,P0001,Groceries,867,1280,593,49.49,20,Spring
2022-06-17,P0001,Groceries,616,1451,607,80.74,20,Spring
2022-06-18,P0001,Groceries,637,1564,510,42.96,15,Spring
2022-06-19,P0001,Groceries,432,1477,719,57.63,10,Spring
2022-06-20,P0001,Groceries,633,1581,496,67.12,20,Spring
2022-06-21,P0001,Groceries,989,1841,517,61.21,20,Summer
2022-06-22,P0001,Groceries,908,1495,537,46.71,15,Summer
2022-06-23,P0001,Groceries,885,1411,579,49.27,20,Summer
2022-06-24,P0001,Groceries,573,1113,560,52.23,20,Summer
2022-06-25,P0001,Groceries,1145,1817,651,52.05,20,Summer
2022-06-26,P0001,Groceries,835,1309,355,38.71,15,Summer
2022-06-27,P0001,Groceries,305,1250,611,62.97,20,Summer
2022-06-28,P0001,Groceries,670,1111,416,49.93,20,Summer
2022-06-29,P0001,Groceries,384,1027,696,71.4,10,Summer
2022-06-30,P0001,Groceries,728,1756,634,51.91,20,Summer
2022-07-01,P0001,Groceries,732,1339,618,54.32,20,Summer
2022-07-02,P0001,Groceries,320,1045,415,59.63,20,Summer
2022-07-03,P0001,Groceries,767,1491,462,52.15,15,Summer
2022-07-04,P0001,Groceries,879,1399,253,39.01,20,Summer
2022-07-05,P0001,Groceries,367,729,637,50.94,15,Summer
2022-07-06,P0001,Groceries,319,978,426,47.57,20,Summer
2022-07-07,P0001,Groceries,584,1470,691,63.52,20,Summer
2022-07-08,P0001,Groceries,528,1425,553,53.27,20,Summer
2022-07-09,P0001,Groceries,698,1428,512,55.15,20,Summer
2022-07-10,P0001,Groceries,237,1459,493,57.12,20,Summer
2022-07-11,P0001,Groceries,604,1323,626,55.73,20,Summer
2022-07-12,P0001,Groceries,494,1420,383,54.19,20,Summer
2022-07-13,P0001,Groceries,1141,1670,611,55.18,15,Summer
2022-07-14,P0001,Groceries,829,1335,521,79.04,20,Summer
2022-07-15,P0001,Groceries,542,888,539,52.35,15,Summer
2022-07-16,P0001,Groceries,629,1488,515,65.7,15,Summer
2022-07-17,P0001,Groceries,987,1640,609,58.11,20,Summer
2022-07-18,P0001,Groceries,560,1135,433,55.21,20,Summer
2022-07-19,P0001,Groceries,732,1240,447,64.59,20,Summer
2022-07-20,P0001,Groceries,754,1514,459,48.48,15,Summer
2022-07-21,P0001,Groceries,476,1486,455,38.72,20,Summer
2022-07-22,P0001,Groceries,514,1713,289,49.1,20,Summer
2022-07-23,P0001,Groceries,724,1918,567,53.62,15,Summer
2022-07-24,P0001,Groceries,1092,1716,608,67.81,15,Summer
2022-07-25,P0001,Groceries,596,1488,739,54.16,20,Summer
2022-07-26,P0001,Groceries,495,1690,705,45.95,20,Summer
2022-07-27,P0001,Groceries,622,1614,647,52.18,20,Summer
2022-07-28,P0001,Groceries,567,1340,547,53.41,15,Summer
2022-07-29,P0001,Groceries,857,1630,533,43.72,20,Summer
2022-07-30,P0001,Groceries,829,1825,472,65.86,20,Summer
2022-07-31,P0001,Groceries,1028,1280,587,60.88,15,Summer
2022-08-01,P0001,Groceries,589,832,645,60.31,20,Summer
2022-08-02,P0001,Groceries,402,1033,820,78.75,20,Summer
2022-08-03,P0001,Groceries,497,1304,863,30.42,20,Summer
2022-08-04,P0001,Groceries,605,1582,494,52.57,15,Summer
2022-08-05,P0001,Groceries,456,1326,623,67.65,20,Summer
2022-08-06,P0001,Groceries,938,1734,657,57.47,20,Summer
2022-08-07,P0001,Groceries,850,1321,345,45.44,20,Summer
2022-08-08,P0001,Groceries,625,1418,476,50.12,20,Summer
2022-08-09,P0001,Groceries,875,1077,663,80.79,10,Summer
2022-08-10,P0001,Groceries,555,1349,527,37.25,20,Summer
2022-08-11,P0001,Groceries,668,1757,545,59.31,15,Summer
2022-08-12,P0001,Groceries,672,1348,482,74.36,20,Summer
2022-08-13,P0001,Groceries,813,1471,353,50.15,20,Summer
2022-08-14,P0001,Groceries,874,1746,427,57.73,20,Summer
2022-08-15,P0001,Groceries,772,1100,433,62.73,20,Summer
2022-08-16,P0001,Groceries,404,1094,512,64.08,20,Summer
2022-08-17,P0001,Groceries,1219,1955,508,33.17,20,Summer
2022-08-18,P0001,Groceries,911,1337,440,37.4,20,Summer
2022-08-19,P0001,Groceries,1021,1462,454,40.93,15,Summer
2022-08-20,P0001,Groceries,608,1200,615,71.36,20,Summer
2022-08-21,P0001,Groceries,523,1173,540,54.44,20,Summer
2022-08-22,P0001,Groceries,605,1329,629,63.4,20,Summer
2022-08-23,P0001,Groceries,637,1540,560,80.06,20,Summer
2022-08-24,P0001,Groceries,501,1346,659,54.02,20,Summer
2022-08-25,P0001,Groceries,532,1340,566,38.95,20,Summer
2022-08-26,P0001,Groceries,358,1292,674,46.82,20,Summer
2022-08-27,P0001,Groceries,945,1712,544,76.0,20,Summer
2022-08-28,P0001,Groceries,645,841,633,36.53,20,Summer
2022-08-29,P0001,Groceries,606,1376,601,70.43,10,Summer
2022-08-30,P0001,Groceries,484,1084,687,48.19,20,Summer
2022-08-31,P0001,Groceries,938,1302,527,30.18,15,Summer
2022-09-01,P0001,Groceries,473,1053,576,46.45,20,Summer
2022-09-02,P0001,Groceries,954,1202,649,48.7,15,Summer
2022-09-03,P0001,Groceries,506,1528,534,36.01,20,Summer
2022-09-04,P0001,Groceries,875,1558,774,57.22,20,Summer
2022-09-05,P0001,Groceries,887,1981,561,55.32,15,Summer
2022-09-06,P0001,Groceries,1078,1832,724,65.36,15,Summer
2022-09-07,P0001,Groceries,672,1249,483,56.14,15,Summer
2022-09-08,P0001,Groceries,836,1122,716,40.73,20,Summer
2022-09-09,P0001,Groceries,308,1082,574,51.37,20,Summer
2022-09-10,P0001,Groceries,827,1620,353,65.32,20,Summer
2022-09-11,P0001,Groceries,1159,1380,837,45.21,20,Summer
2022-09-12,P0001,Groceries,937,1757,484,63.73,20,Summer
2022-09-13,P0001,Groceries,1431,1874,906,74.33,20,Summer
2022-09-14,P0001,Groceries,458,897,705,66.56,20,Summer
2022-09-15,P0001,Groceries,1169,1774,480,62.44,15,Summer
2022-09-16,P0001,Groceries,436,984,676,39.37,20,Summer
2022-09-17,P0001,Groceries,1032,1781,661,57.49,15,Summer
2022-09-18,P0001,Groceries,429,973,465,47.95,20,Summer
2022-09-19,P0001,Groceries,1160,1879,374,28.16,20,Summer
2022-09-20,P0001,Groceries,510,1548,573,68.07,20,Summer
2022-09-21,P0001,Groceries,765,1380,662,55.76,15,Autumn
2022-09-22,P0001,Groceries,1029,1837,367,48.32,20,Autumn
2022-09-23,P0001,Groceries,516,973,430,46.86,20,Autumn
2022-09-24,P0001,Groceries,339,918,483,68.17,20,Autumn
2022-09-25,P0001,Groceries,999,1387,379,65.23,20,Autumn
2022-09-26,P0001,Groceries,1101,1671,651,50.34,20,Autumn
2022-09-27,P0001,Groceries,1404,1798,615,61.3,15,Autumn
2022-09-28,P0001,Groceries,760,1452,634,68.37,20,Autumn
2022-09-29,P0001,Groceries,389,1182,685,60.07,20,Autumn
2022-09-30,P0001,Groceries,872,1344,384,60.4,20,Autumn
2022-10-01,P0001,Groceries,1254,1552,515,64.03,15,Autumn
2022-10-02,P0001,Groceries,880,1333,575,52.1,20,Autumn
2022-10-03,P0001,Groceries,706,1150,726,52.42,15,Autumn
2022-10-04,P0001,Groceries,305,1276,609,44.65,20,Autumn
2022-10-05,P0001,Groceries,365,995,490,41.3,20,Autumn
2022-10-06,P0001,Groceries,327,886,538,65.75,20,Autumn
2022-10-07,P0001,Groceries,728,1165,587,41.82,15,Autumn
2022-10-08,P0001,Groceries,744,1619,492,39.61,15,Autumn
2022-10-09,P0001,Groceries,671,1225,600,59.26,20,Autumn
2022-10-10,P0001,Groceries,1005,1546,471,65.13,20,Autumn
2022-10-11,P0001,Groceries,732,1116,444,74.22,15,Autumn
2022-10-12,P0001,Groceries,741,1461,760,53.64,15,Autumn
2022-10-13,P0001,Groceries,864,1494,258,46.27,20,Autumn
2022-10-14,P0001,Groceries,823,1584,641,46.33,15,Autumn
2022-10-15,P0001,Groceries,631,811,313,62.03,20,Autumn
2022-10-16,P0001,Groceries,836,1392,312,63.46,20,Autumn
2022-10-17,P0001,Groceries,1113,1598,602,44.28,20,Autumn
2022-10-18,P0001,Groceries,747,2056,603,65.17,15,Autumn
2022-10-19,P0001,Groceries,390,730,311,70.41,20,Autumn
2022-10-20,P0001,Groceries,687,1548,581,60.9,20,Autumn
2022-10-21,P0001,Groceries,516,1063,521,55.01,20,Autumn
2022-10-22,P0001,Groceries,629,1039,557,43.71,20,Autumn
2022-10-23,P0001,Groceries,480,885,525,58.97,20,Autumn
2022-10-24,P0001,Groceries,927,1412,520,49.37,20,Autumn
2022-10-25,P0001,Groceries,680,1348,556,45.54,15,Autumn
2022-10-26,P0001,Groceries,563,1241,536,57.6,20,Autumn
2022-10-27,P0001,Groceries,366,933,643,52.68,20,Autumn
2022-10-28,P0001,Groceries,803,1726,492,32.98,15,Autumn
2022-10-29,P0001,Groceries,565,1160,427,51.94,20,Autumn
2022-10-30,P0001,Groceries,701,1491,559,63.86,5,Autumn
2022-10-31,P0001,Groceries,794,1411,748,65.87,20,Autumn
2022-11-01,P0001,Groceries,381,1316,485,59.79,15,Autumn
2022-11-02,P0001,Groceries,315,1462,310,55.49,15,Autumn
2022-11-03,P0001,Groceries,834,1655,550,57.55,20,Autumn
2022-11-04,P0001,Groceries,902,1528,478,46.28,20,Autumn
2022-11-05,P0001,Groceries,793,1556,629,59.69,15,Autumn
2022-11-06,P0001,Groceries,762,1809,580,66.33,20,Autumn
2022-11-07,P0001,Groceries,538,1105,487,50.28,10,Autumn
2022-11-08,P0001,Groceries,712,1617,261,53.16,20,Autumn
2022-11-09,P0001,Groceries,381,1370,530,46.09,15,Autumn
2022-11-10,P0001,Groceries,809,1868,493,64.85,20,Autumn
2022-11-11,P0001,Groceries,725,1633,601,79.35,20,Autumn
2022-11-12,P0001,Groceries,392,1286,349,74.11,20,Autumn
2022-11-13,P0001,Groceries,330,2170,748,68.35,15,Autumn
2022-11-14,P0001,Groceries,785,1417,566,61.08,20,Autumn
2022-11-15,P0001,Groceries,680,1010,414,60.41,20,Autumn
2022-11-16,P0001,Groceries,487,1772,326,49.26,20,Autumn
2022-11-17,P0001,Groceries,1095,1707,501,78.57,20,Autumn
2022-11-18,P0001,Groceries,720,1403,769,44.28,20,Autumn
2022-11-19,P0001,Groceries,822,1455,679,34.23,15,Autumn
2022-11-20,P0001,Groceries,989,1356,546,48.56,20,Autumn
2022-11-21,P0001,Groceries,763,1228,569,53.97,15,Autumn
2022-11-22,P0001,Groceries,347,1436,541,65.7,20,Autumn
2022-11-23,P0001,Groceries,1269,1699,507,53.94,15,Autumn
2022-11-24,P0001,Groceries,722,1474,687,62.21,20,Autumn
2022-11-25,P0001,Groceries,783,1471,458,52.92,15,Autumn
2022-11-26,P0001,Groceries,721,1387,519,30.71,20,Autumn
2022-11-27,P0001,Groceries,434,782,470,66.66,20,Autumn
2022-11-28,P0001,Groceries,736,1813,724,69.36,20,Autumn
2022-11-29,P0001,Groceries,531,1123,260,56.42,15,Autumn
2022-11-30,P0001,Groceries,987,1393,816,72.03,20,Autumn
2022-12-01,P0001,Groceries,914,1578,483,58.04,20,Autumn
2022-12-02,P0001,Groceries,1058,1437,757,52.99,10,Autumn
2022-12-03,P0001,Groceries,703,1414,616,58.6,20,Autumn
2022-12-04,P0001,Groceries,871,1735,457,44.73,20,Autumn
2022-12-05,P0001,Groceries,1035,1697,713,50.37,20,Autumn
2022-12-06,P0001,Groceries,1036,1549,549,42.52,20,Autumn
2022-12-07,P0001,Groceries,1252,1647,542,38.93,20,Autumn
2022-12-08,P0001,Groceries,998,1489,369,52.04,20,Autumn
2022-12-09,P0001,Groceries,944,1686,455,43.45,20,Autumn
2022-12-10,P0001,Groceries,335,1492,493,55.88,20,Autumn
2022-12-11,P0001,Groceries,397,1082,613,46.4,20,Autumn
2022-12-12,P0001,Groceries,860,1576,501,61.48,15,Autumn
2022-12-13,P0001,Groceries,1187,1829,690,50.59,15,Autumn
2022-12-14,P0001,Groceries,618,1202,584,45.3,20,Autumn
2022-12-15,P0001,Groceries,486,851,512,48.26,15,Autumn
2022-12-16,P0001,Groceries,1142,1674,600,81.96,15,Autumn
2022-12-17,P0001,Groceries,1004,1563,618,42.87,15,Autumn
2022-12-18,P0001,Groceries,1098,1724,556,45.81,20,Autumn
2022-12-19,P0001,Groceries,433,1290,374,57.55,15,Autumn
2022-12-20,P0001,Groceries,593,1049,484,43.17,15,Autumn
2022-12-21,P0001,Groceries,660,1176,484,50.29,15,Winter
2022-12-22,P0001,Groceries,684,1370,399,53.53,20,Winter
2022-12-23,P0001,Groceries,444,1454,708,49.74,20,Winter
2022-12-24,P0001,Groceries,426,846,666,53.19,20,Winter
2022-12-25,P0001,Groceries,820,1320,549,35.99,15,Winter
2022-12-26,P0001,Groceries,970,1064,570,61.97,20,Winter
2022-12-27,P0001,Groceries,887,1759,612,35.95,20,Winter
2022-12-28,P0001,Groceries,273,1192,615,75.66,20,Winter
2022-12-29,P0001,Groceries,348,1300,686,68.87,15,Winter
2022-12-30,P0001,Groceries,782,1725,425,54.31,15,Winter
2022-12-31,P0001,Groceries,532,918,708,59.17,15,Winter
2023-01-01,P0001,Groceries,358,1295,314,54.21,15,Winter
2023-01-02,P0001,Groceries,664,1338,509,47.13,20,Winter
2023-01-03,P0001,Groceries,444,924,534,36.46,20,Winter
2023-01-04,P0001,Groceries,466,1106,657,51.31,15,Winter
2023-01-05,P0001,Groceries,849,1292,659,80.25,20,Winter
2023-01-06,P0001,Groceries,604,1203,645,35.33,20,Winter
2023-01-07,P0001,Groceries,546,1356,540,52.68,20,Winter
2023-01-08,P0001,Groceries,634,1408,560,49.04,20,Winter
2023-01-09,P0001,Groceries,215,977,600,70.24,15,Winter
2023-01-10,P0001,Groceries,484,1458,523,46.37,20,Winter
2023-01-11,P0001,Groceries,689,1200,346,54.07,15,Winter
2023-01-12,P0001,Groceries,345,1306,522,63.12,20,Winter
2023-01-13,P0001,Groceries,483,730,570,55.24,20,Winter
2023-01-14,P0001,Groceries,896,1387,525,51.83,15,Winter
2023-01-15,P0001,Groceries,818,1151,398,55.27,20,Winter
2023-01-16,P0001,Groceries,391,1003,661,47.05,20,Winter
2023-01-17,P0001,Groceries,820,1366,612,40.79,15,Winter
2023-01-18,P0001,Groceries,280,1737,639,64.01,20,Winter
2023-01-19,P0001,Groceries,518,1239,628,52.56,20,Winter
2023-01-20,P0001,Groceries,402,943,645,60.89,20,Winter
2023-01-21,P0001,Groceries,746,1654,678,59.73,15,Winter
2023-01-22,P0001,Groceries,791,1534,697,50.13,20,Winter
2023-01-23,P0001,Groceries,1224,1937,583,66.74,20,Winter
2023-01-24,P0001,Groceries,698,1375,607,59.87,20,Winter
2023-01-25,P0001,Groceries,496,1636,658,45.38,20,Winter
2023-01-26,P0001,Groceries,633,1487,629,87.93,20,Winter
2023-01-27,P0001,Groceries,1061,1394,439,69.63,20,Winter
2023-01-28,P0001,Groceries,510,1317,600,66.47,20,Winter
2023-01-29,P0001,Groceries,347,1615,727,52.33,20,Winter
2023-01-30,P0001,Groceries,476,1582,552,44.16,15,Winter
2023-01-31,P0001,Groceries,990,1557,653,65.05,20,Winter
2023-02-01,P0001,Groceries,648,1650,542,45.22,20,Winter
2023-02-02,P0001,Groceries,783,1399,453,33.07,5,Winter
2023-02-03,P0001,Groceries,879,1628,599,48.43,20,Winter
2023-02-04,P0001,Groceries,259,872,694,52.58,20,Winter
2023-02-05,P0001,Groceries,628,1425,556,61.35,20,Winter
2023-02-06,P0001,Groceries,388,1163,592,43.46,20,Winter
2023-02-07,P0001,Groceries,789,1783,815,65.07,20,Winter
2023-02-08,P0001,Groceries,879,2028,472,50.83,15,Winter
2023-02-09,P0001,Groceries,564,1812,566,84.01,15,Winter
2023-02-10,P0001,Groceries,497,1492,584,55.18,15,Winter
2023-02-11,P0001,Groceries,1086,1701,528,66.16,10,Winter
2023-02-12,P0001,Groceries,952,1692,592,52.13,15,Winter
2023-02-13,P0001,Groceries,1150,1403,656,32.3,20,Winter
2023-02-14,P0001,Groceries,717,1126,537,59.06,20,Winter
2023-02-15,P0001,Groceries,657,1120,740,56.51,20,Winter
2023-02-16,P0001,Groceries,483,1155,472,67.79,20,Winter
2023-02-17,P0001,Groceries,492,1367,505,69.57,20,Winter
2023-02-18,P0001,Groceries,726,1187,411,66.48,20,Winter
2023-02-19,P0001,Groceries,1076,1786,437,66.9,20,Winter
2023-02-20,P0001,Groceries,318,1245,450,63.4,15,Winter
2023-02-21,P0001,Groceries,656,1541,622,64.72,15,Winter
2023-02-22,P0001,Groceries,286,873,734,69.86,15,Winter
